mean_x,std_x,crossing_fraction,onset_count,step,time
-0.0027398753487441886,0.07879489357122368,0.0,0,0,0.0
0.0016053719064083123,0.23031194515684592,0.0,0,10,0.1
-0.011368894865678185,0.2847387338204271,0.0,0,20,0.2
-0.01585812085553656,0.29951909692783407,0.0,0,30,0.3
-0.01631992557940914,0.30616709536514036,0.0,0,40,0.4
0.005432517693968659,0.31368649776124313,0.0,0,50,0.5
0.006608899084944584,0.3174095634181379,0.0,0,60,0.6
0.006787946883418137,0.32204708745422667,0.0,0,70,0.7000000000000001
-0.005346905604666619,0.31857248036271035,0.0,0,80,0.8
8.845000737217567e-05,0.3150986673268929,0.0,0,90,0.9
-0.015642421449891187,0.31233604528986936,0.0,0,100,1.0
-0.0012318093833223998,0.3161355153130265,0.0,0,110,1.1
-0.0009827411223060354,0.32681168588375015,0.0,0,120,1.2
0.0043047515673386065,0.32223671983848323,0.0,0,130,1.3
0.008441839806052278,0.3309587937184919,0.0,0,140,1.4000000000000001
-0.0029538965743998264,0.3287882337576892,0.0,0,150,1.5
0.004875262290333165,0.3268766432515699,0.0,0,160,1.6
-0.002089451690609226,0.3285968161162399,0.0,0,170,1.7
-0.0027426223411861246,0.322895288155234,0.0,0,180,1.8
-0.013919250872793831,0.325133627183778,0.0,0,190,1.9000000000000001
-0.009547016753920858,0.32282098806788123,0.0,0,200,2.0
-0.0026125308458938034,0.3372024418464142,0.0,0,210,2.1
0.002663076659488806,0.3348316698509106,0.0,0,220,2.2
-0.0036960195358044525,0.33274388161553103,0.0,0,230,2.3000000000000003
-0.014889851564804716,0.33837733599967806,0.0,0,240,2.4
-0.01853898867277145,0.34338555157066536,0.0,0,250,2.5
-0.017894548680649627,0.3396325782623897,0.0,0,260,2.6
-0.003311154643731257,0.320194112976662,0.0,0,270,2.7
-0.016294570486609844,0.3230917126162816,0.0,0,280,2.8000000000000003
-0.012432410872999093,0.33232537934553946,0.0,0,290,2.9
-0.009610902830058377,0.32961057167001684,0.0,0,300,3.0
-0.0042475342865924874,0.33311400892017784,0.0,0,310,3.1
-0.007585178209568619,0.333803879157857,0.0,0,320,3.2
-0.011966190873662604,0.3322871992959589,0.0,0,330,3.3000000000000003
-0.009304576327127346,0.3268541158773879,0.0,0,340,3.4
0.007433088563219914,0.3330452364165621,0.0,0,350,3.5
-0.0027952018185231735,0.33407488861868045,0.0,0,360,3.6
0.001481716889676913,0.33834316171404183,0.0,0,370,3.7
0.010087747863332447,0.3340836641341622,0.0,0,380,3.8000000000000003
0.0012415861854091865,0.3298487001795002,0.0,0,390,3.9
-0.004714284714352347,0.31312099049716924,0.0,0,400,4.0
-0.0029908467113118837,0.3286586524837531,0.0,0,410,4.1
0.007878816461786623,0.33948444126408117,0.0,0,420,4.2
0.006467921277788155,0.3320894776708706,0.0,0,430,4.3
0.01301470470687606,0.33486100852585343,0.0,0,440,4.4
0.012897043630384427,0.32840491098227825,0.0,0,450,4.5
0.014891244395257134,0.3232508094837994,0.0,0,460,4.6000000000000005
0.017398620118449944,0.32469549925607577,0.0,0,470,4.7
0.010776187461879826,0.3279142276229969,0.0,0,480,4.8
0.0024648528544414265,0.3306918000457111,0.0,0,490,4.9
0.006293266143144518,0.3351724311529123,0.0,0,500,5.0
0.011396667208686127,0.34120140430381013,0.0,0,510,5.1000000000000005
0.011768011406057016,0.33004466125970994,0.0,0,520,5.2
0.008128986842763228,0.33235407931781075,0.0,0,530,5.3
0.00831883035231029,0.3384557125846718,0.0,0,540,5.4
0.018092306038623676,0.3313277686660295,0.0,0,550,5.5
0.00376997677659587,0.3384496278134568,0.0,0,560,5.6000000000000005
0.0004683754724867919,0.32503601459665643,0.0,0,570,5.7
0.008639841598211066,0.3328292980875358,0.0,0,580,5.8
0.008622254414230533,0.32951577010737404,0.0,0,590,5.9
0.013418386824539134,0.3309637631764024,0.0,0,600,6.0
0.01716394103715563,0.3380652055463566,0.0,0,610,6.1000000000000005
0.013172291235180513,0.3388955800592187,0.0,0,620,6.2
0.005784978543356822,0.32478123275717996,0.0,0,630,6.3
-0.007370319077692083,0.33140585129730615,0.0,0,640,6.4
0.009073555465305838,0.3259457229659295,0.0,0,650,6.5
0.014822387668644264,0.317559852917784,0.001,1,660,6.6000000000000005
0.014998503423391913,0.32881166498250114,0.001,1,670,6.7
0.01936446390204046,0.3356084784965429,0.001,1,680,6.8
0.002116926350880272,0.3446391754061911,0.001,1,690,6.9
0.01405408230799313,0.34207628515285793,0.001,1,700,7.0
-0.0019575415286118246,0.3450495100742749,0.001,1,710,7.1000000000000005
0.004957219217806806,0.33826869422133105,0.001,1,720,7.2
0.008894394289105493,0.34699970419696635,0.001,1,730,7.3
0.005840529826140593,0.3367331745363091,0.001,1,740,7.4
0.0057401625302168765,0.3404579204300645,0.001,1,750,7.5
0.0050188320891236685,0.330380992150737,0.001,1,760,7.6000000000000005
0.002830181763187107,0.33328967711935553,0.001,1,770,7.7
-0.005918323169628725,0.32611449241664053,0.001,1,780,7.8
-0.011996497819799638,0.3216307768614932,0.001,1,790,7.9
-0.010905893791563677,0.3214673968200547,0.001,1,800,8.0
-0.025583609910583033,0.326902097769931,0.001,1,810,8.1
-0.022920278617645416,0.32332066193733977,0.001,1,820,8.2
-0.020731673388314525,0.33667061060477244,0.001,1,830,8.3
-0.014312995985410333,0.32399642545025603,0.001,1,840,8.4
0.0029369716403724972,0.3227282579005687,0.001,1,850,8.5
0.0022866119410421713,0.3312264114886803,0.001,1,860,8.6
-0.016316111223066948,0.3319010568643201,0.001,1,870,8.700000000000001
-0.004905735030299546,0.3179193603939231,0.001,1,880,8.8
-0.004451529529721163,0.3112830753735775,0.001,1,890,8.9
0.0025984504341757596,0.31535754556760565,0.001,1,900,9.0
0.010003780394915724,0.3278871388604094,0.001,1,910,9.1
-0.011285576490528538,0.330653528725264,0.001,1,920,9.200000000000001
-0.0033151314566614823,0.325134611951089,0.001,1,930,9.3
-0.007307301175307723,0.33408370126728054,0.001,1,940,9.4
-0.002201034823804779,0.3418516929269843,0.001,1,950,9.5
0.00857425193133812,0.33804876244164894,0.001,1,960,9.6
0.007376677669832551,0.3347888567703655,0.001,1,970,9.700000000000001
0.008032648522131262,0.32992876665327486,0.001,1,980,9.8
-0.00353055665301716,0.3277723795072046,0.001,1,990,9.9
0.006405270869627514,0.33738242965197957,0.001,1,1000,10.0
-0.010939165580380073,0.33211210540956865,0.001,1,1010,10.1
-0.004986878516995094,0.34345154855240556,0.001,1,1020,10.200000000000001
-0.0007159642437113452,0.3279205686736926,0.001,1,1030,10.3
-0.002511543087857414,0.3218557549043183,0.001,1,1040,10.4
-0.0010184678182844635,0.32098391532069437,0.001,1,1050,10.5
0.00808684343290652,0.3147889978581568,0.001,1,1060,10.6
-0.0008740988438334573,0.32528871229151013,0.001,1,1070,10.700000000000001
0.0045232551938560895,0.32779935434383983,0.001,1,1080,10.8
0.007389940182155566,0.33603141765844463,0.001,1,1090,10.9
0.010169524319255979,0.32888794696371837,0.001,1,1100,11.0
0.011693437139106427,0.3268705456869759,0.001,1,1110,11.1
0.014325036222929204,0.34005855562455717,0.001,1,1120,11.200000000000001
0.02092746900949456,0.3370356777910165,0.001,1,1130,11.3
0.013474593649341355,0.3365739692936286,0.001,1,1140,11.4
0.011819323554359279,0.3368638659303744,0.001,1,1150,11.5
0.005810887178420348,0.32852943744275726,0.001,1,1160,11.6
-0.0035741880615671137,0.32502371666301544,0.001,1,1170,11.700000000000001
-0.008726840319130595,0.33771500615794725,0.001,1,1180,11.8
-0.023713017390771123,0.3291688091937128,0.001,1,1190,11.9
-0.01020210962295542,0.3192411539728359,0.001,1,1200,12.0
-0.013043436500211959,0.32127959662617134,0.001,1,1210,12.1
