step,time,active_area,total_signal,max_signal,activation_events,inadmissible_activation_count,inadmissible_activation_fraction,signal_outside_domain_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean,admissible_area_fraction,signal_active_fraction
0,0.0,28.970999999999997,5.800000000000001,0.2,29,0,0.0,0.0,0,0.0,0.0,0.007080078125,0.007080078125
1,0.1,28.936517,11.571000000000002,0.399,20,20,1.0,0.012017975974418806,20,1.0,0.0,0.007080078125,0.011962890625
2,0.2,28.90844767564701,17.313145000000002,0.597005,24,24,1.0,0.02317319279177758,24,1.0,0.0,0.007080078125,0.017822265625
3,0.30000000000000004,28.896749831184636,23.026579275000003,0.794019975,0,0,0.0,0.033570776416827645,0,0.0,0.0,0.007080078125,0.017822265625
4,0.4,28.90923793925378,28.711446378625006,0.9900279223187167,0,0,0.0,0.0433103964043266,0,0.0,0.0,0.007080078125,0.017822265625
5,0.5,28.951614543012408,34.367889146731876,1.18498526321427,0,0,0.0,0.022364556069799903,0,0.0,0.0,0.007080078125,0.017822265625
6,0.6000000000000001,29.027639211017494,39.99604970099821,1.378825134846549,0,0,0.0,0.02612785334953214,0,0.0,0.0,0.009033203125,0.017822265625
7,0.7000000000000001,29.139370535634534,45.596069452493225,1.5714634698433116,0,0,0.0,0.029751971807965006,0,0.0,0.0,0.009033203125,0.017822265625
8,0.8,29.28744353932973,51.16808910523076,1.7628053073123682,0,0,0.0,0.03326832645133039,0,0.0,0.0,0.009033203125,0.017822265625
9,0.9,29.47136206045289,56.712248659704606,1.9527502199679414,0,0,0.0,0.03670375188474788,0,0.0,0.0,0.009033203125,0.017822265625
10,1.0,29.689794562570484,62.22868741640608,2.141196517448698,8,8,1.0,0.040081239163985795,8,1.0,0.0,0.009033203125,0.019775390625
11,1.1,29.94086491682866,67.71754397932405,2.328044268962862,8,8,1.0,0.04341979290416549,8,1.0,0.0,0.009033203125,0.021728515625
12,1.2000000000000002,30.222429557967626,73.17895625942744,2.513197347517905,0,0,0.0,0.015377950236704978,0,0.0,0.0,0.009033203125,0.021728515625
13,1.3,30.53233104593758,78.61306147813029,2.6965647359330065,0,0,0.0,0.016587800968192835,0,0.0,0.0,0.010986328125,0.021728515625
14,1.4000000000000001,30.86861695455641,84.01999617073965,2.8780613131260533,8,8,1.0,0.01783433271537717,8,1.0,0.0,0.010986328125,0.023681640625
15,1.5,31.22971307925551,89.39989618988594,3.0576082935609996,4,4,1.0,0.0031413881861284917,4,1.0,0.0,0.010986328125,0.024658203125
16,1.6,31.61454158626062,94.7528967089365,3.2351334429932654,0,0,0.0,0.003752781423889299,0,0.0,0.0,0.011962890625,0.024658203125
17,1.7000000000000002,32.02257779838325,100.07913222539185,3.4105711497465827,0,0,0.0,0.004441344897615709,0,0.0,0.0,0.011962890625,0.024658203125
18,1.8,32.45384334515534,105.37873656426487,3.5838623968353347,0,0,0.0,0.005213752996952678,0,0.0,0.0,0.011962890625,0.024658203125
19,1.9000000000000001,32.908837763781385,110.65184288144354,3.7549546570702366,0,0,0.0,0.006077175348270541,0,0.0,0.0,0.011962890625,0.024658203125
20,2.0,33.38841478510407,115.89858366703632,3.9238017197703168,0,0,0.0,0.007039227543306119,0,0.0,0.0,0.011962890625,0.024658203125
21,2.1,33.8936132260186,121.11909074870115,4.090363451903412,0,0,0.0,0.008107890272071816,0,0.0,0.0,0.011962890625,0.024658203125
22,2.2,34.4254557267527,126.31349529495763,4.2546054961977084,0,0,0.0,0.009291390746023363,0,0.0,0.0,0.011962890625,0.024658203125
