active_fraction,mean_mismatch,max_mismatch,mean_residue,step
0.0036,0.00725,2.5,0.000288,0
0.0157,0.006911132985295303,1.869290233928125,0.010333011243210191,10
0.0136,0.00661477864128245,1.6214477433074586,0.017039594729796815,20
0.0176,0.006535804391184429,1.5160445558671576,0.024200137784416917,30
0.0196,0.006492617512641152,1.4276308777927706,0.03310449658211506,40
0.0188,0.006436493555301121,1.3512213655253724,0.04216177535669146,50
0.0148,0.006374412960008362,1.276433209224272,0.04718932895563745,60
0.0112,0.0063855502848319985,1.276433209224272,0.048680925146023034,70
0.0092,0.006316881868253747,1.210893483973728,0.0467319648545338,80
0.004,0.00625063756427039,1.1520874175719777,0.04221531484740935,90
0.0016,0.006192215111244079,1.097866399737089,0.035962488720785044,100
0.0028,0.006164522007345977,1.097866399737089,0.030960719416698458,110
0.0012,0.006121182591409904,1.0491389673037832,0.026455240040611325,120
0.0008,0.006096911874628239,1.004272449335796,0.022964935249314068,130
0.0012,0.006034866948519662,1.004272449335796,0.01988370189654129,140
0.0052,0.0060175455028156095,0.9631431936692438,0.01762934691473588,150
0.0,0.005968643773353985,0.9202783692530717,0.015303439903199871,160
0.0008,0.005935502646583894,0.9202783692530717,0.013785341698498786,170
0.0008,0.005924556005867239,0.8819635877392792,0.012754814660886873,180
0.0,0.005886464061058035,0.8819635877392792,0.011572263561059955,190
0.0036,0.005847297385544578,0.8479663207925149,0.010831796594895369,200
0.0028,0.0058164933861369825,0.8479663207925149,0.009999923058831146,210
0.0012,0.005778000527898133,0.8169041884708768,0.009255908037579693,220
0.002,0.005755275437291148,0.8169041884708768,0.00853984826463667,230
0.0012,0.005723424351814843,0.786944448124651,0.008523359551146819,240
0.0008,0.005686634548309156,0.786944448124651,0.008016069860106443,250
0.0032,0.005678138703227384,0.7470295786577488,0.007832253849957877,260
0.002,0.0056395322687639105,0.7470295786577488,0.0074012202821438005,270
0.0008,0.005621795553191346,0.7175272892611582,0.007375879095676533,280
0.002,0.005603662996681529,0.7175272892611582,0.00727882107098847,290
0.0024,0.005572710594227252,0.6926444689269166,0.007055344919916544,300
0.0024,0.005555318139507065,0.6926444689269166,0.006899426610976104,310
0.0012,0.005524633995344732,0.6693524608233828,0.006666029561692595,320
0.0032,0.0055016404307001695,0.6693524608233828,0.006782682066592032,330
0.0,0.005502647954387766,0.6693524608233828,0.006635410254002717,340
0.0004,0.0054673315098696645,0.6476739310053838,0.0064052513964306,350
0.0032,0.00544513063351095,0.6476739310053838,0.006571977952701259,360
0.002,0.0054297711062344,0.627684796030046,0.006604399349075459,370
0.0008,0.005399969289770413,0.627684796030046,0.006393495096396498,380
0.0012,0.00539680793359293,0.6063953958845779,0.006421053815752075,390
0.0024,0.005384188167288285,0.6063953958845779,0.006534882477026339,400
0.0012,0.005355421511194085,0.6063953958845779,0.006079656354924189,410
0.0024,0.0053407341886112965,0.5870428024666697,0.0061572874860861045,420
0.0012,0.005330956697665995,0.5870428024666697,0.006384987520145956,430
0.002,0.005314752236674528,0.5870428024666697,0.006430042244077707,440
0.002,0.005292536833335953,0.5696180215847564,0.006399343063617428,450
0.0008,0.005279942632719097,0.5696180215847564,0.006089453022751826,460
0.0008,0.005267572438327937,0.5696180215847564,0.006148271957392212,470
0.0,0.005256994412940761,0.5532160626113835,0.005836982632531122,480
0.0024,0.005236758467679981,0.5532160626113835,0.006238524626917824,490
0.004,0.005222670066091162,0.5532160626113835,0.0061064602105284135,500
0.0016,0.005203250005148406,0.5379314165430247,0.00602805442691892,510
0.0012,0.005197753512308585,0.5379314165430247,0.006270291920545962,520
0.0012,0.0051889262535671195,0.5379314165430247,0.006439416356634264,530
0.0016,0.0051714260116542165,0.516596641070373,0.006314479876413483,540
0.0004,0.005155053423263857,0.516596641070373,0.006021893642691198,550
0.0008,0.005150415167721205,0.516596641070373,0.006263442883473681,560
0.0028,0.005134706086856837,0.5007288570117259,0.006278841378210858,570
