trial_id,K,omega_std,metric_order_parameter,metric_local_coherence_mean,metric_step,metric_time
0,0.6248744690367602,0.2,0.15286638869552785,0.860858283394708,1990,99.5
1,2.6696833633359986,0.2,0.13976973615539334,0.9482662591023496,1990,99.5
2,1.2417414349961047,0.1,0.11179704712385148,0.942032485524353,1990,99.5
3,1.604456473099941,0.1,0.10352861595364303,0.9559461276265362,1990,99.5
4,0.16523819056311118,0.1,0.020463430122397586,0.7582132447168817,1990,99.5
5,0.7965178346611967,0.01,0.1959121314843933,0.9685711546211995,1990,99.5
6,4.988721171517009,0.2,0.536984411348308,0.9793911241986675,1990,99.5
7,4.890419674039955,0.2,0.5190817133009747,0.9787420745956401,1990,99.5
8,2.404525308175214,0.1,0.312253497435175,0.9729102809091028,1990,99.5
9,3.766400963851458,0.2,0.2702488353816204,0.9683763313048214,1990,99.5
10,0.6740258813934574,0.1,0.27596963747588854,0.9341655010269984,1990,99.5
11,3.615431276371963,0.01,0.5408628651775229,0.9938015008503852,1990,99.5
12,1.3789086894565805,0.1,0.10063214871913519,0.9480178665701369,1990,99.5
13,3.912697020280925,0.2,0.3044619454458459,0.9701212335053719,1990,99.5
14,2.0705958487462492,0.2,0.27762463697602746,0.9187109518869777,1990,99.5
15,2.283703356305804,0.01,0.38427447309821045,0.9897177681658418,1990,99.5
16,1.7917867895580226,0.1,0.1346627155229044,0.9611876371555355,1990,99.5
17,0.23157128675480199,0.01,0.16019282264649728,0.9357948203595787,1990,99.5
18,0.4865384224056801,0.01,0.383078769501179,0.9585735440442146,1990,99.5
19,1.5934230850766435,0.1,0.10248944625958258,0.9556033790979034,1990,99.5
20,3.1988085623019016,0.1,0.20474465555216528,0.9870639355452563,1990,99.5
21,3.300229315094776,0.1,0.19186051558977088,0.9877241864783561,1990,99.5
22,1.6565644623351417,0.01,0.1791683987822459,0.9854698672023378,1990,99.5
23,0.39065651292276404,0.01,0.3003647752827774,0.9510163762377506,1990,99.5
24,0.5652234578791498,0.01,0.4340432039270265,0.9634488452556516,1990,99.5
25,3.5882158251440615,0.1,0.1668680200520445,0.9893592002125362,1990,99.5
26,1.1752893038385896,0.01,0.062260560608850976,0.9790486617589811,1990,99.5
27,1.8466543864931388,0.2,0.299696199635352,0.908852017555003,1990,99.5
28,0.09005485684831838,0.2,0.04037709460190916,0.5309161228970619,1990,99.5
29,2.238113266531068,0.01,0.3726693341334008,0.9894907429304773,1990,99.5
30,4.711155175728907,0.2,0.48431736776455964,0.9774743703203435,1990,99.5
31,2.3790098417428682,0.01,0.4068959509567967,0.9901638143078633,1990,99.5
32,3.443400415237376,0.01,0.5359761113807066,0.9934538383832698,1990,99.5
33,0.21150091832220386,0.01,0.14559142924353233,0.9330074230038192,1990,99.5
34,0.05329790709864057,0.01,0.11078835134645558,0.8961960194033626,1990,99.5
35,3.8399505607488074,0.01,0.5427116544648911,0.99420656401901,1990,99.5
36,2.1822710696056724,0.1,0.24382769278358798,0.9693995509874307,1990,99.5
37,2.3845763522912238,0.1,0.3061603416678101,0.9726219883543841,1990,99.5
38,2.4064944397274672,0.1,0.31285386436116586,0.9729384753933228,1990,99.5
39,0.5721071127812888,0.1,0.1528057305549005,0.9158959162606689,1990,99.5
40,0.1921413018549134,0.1,0.1544281470326339,0.8233342787002922,1990,99.5
41,0.3223172847753031,0.1,0.35347348297406844,0.8862510449565335,1990,99.5
42,1.6697475610458241,0.2,0.3271163156565682,0.899772034372822,1990,99.5
43,2.895453948762415,0.01,0.4945109847468862,0.9920649999940947,1990,99.5
44,3.530393466623654,0.2,0.2185200163141185,0.9652109597491709,1990,99.5
45,3.05904621003521,0.2,0.14925311418234,0.9572234520070757,1990,99.5
46,3.984266636288569,0.01,0.5415778871538275,0.9944414709382944,1990,99.5
47,3.0812249654141466,0.1,0.4965347137434423,0.9804097932706228,1990,99.5
48,3.08363251012906,0.1,0.49706345975321764,0.9804298196942446,1990,99.5
49,1.237826105732397,0.01,0.04734649638665746,0.9801692167483461,1990,99.5
