step,alive_count,survival_fraction,x_mean,x_rms,y_mean,y_rms,z_mean,z_rms,delta_mean,delta_rms,px_rms,py_rms,emittance_proxy_x,emittance_proxy_y
17,9854,0.9854,-0.00011904194056105513,0.008226743668036026,-3.133233358444419e-05,0.008650169883105767,-4.829365508006066e-05,0.04964577399017096,3.1526322034149225e-07,0.001417760941672254,0.00021585457176991594,0.000704395228361692,9.71703973949919e-07,9.622069911205854e-07
18,9854,0.9854,-0.00011315577993677725,0.007619488142675076,-2.9710099464388062e-05,0.007898682047821817,-4.750549702920705e-05,0.053156713967311475,2.6733933548634586e-07,0.0014703905122635372,0.00016370470632272733,0.0007134149118680267,9.717098502595022e-07,9.622102110816133e-07
19,9854,0.9854,-0.0001055039909390831,0.006905387783560877,-2.7629097835084082e-05,0.007036936255961809,-4.6837148690491464e-05,0.05680451674780073,2.1998440287760948e-07,0.001526710638528407,0.00014291837040606716,0.0007116884230234558,9.717165404623695e-07,9.622145179592338e-07
20,9854,0.9854,-9.62059720277874e-05,0.00609986678238525,-2.5121402950283375e-05,0.0060839661448734966,-4.628718768329729e-05,0.06059750786559425,1.7306112074600675e-07,0.0015868556856662645,0.00016694075526273866,0.0006992456752362364,9.717241121120124e-07,9.622200681962413e-07
21,9854,0.9854,-8.540679497858707e-05,0.00522309886452757,-2.2225644013705152e-05,0.005065193084986657,-4.585453488143234e-05,0.06454451869393615,1.264301352548172e-07,0.0016509693468957226,0.0002206047150546952,0.0006763032900457322,9.717326454603659e-07,9.622270342541333e-07
22,9854,0.9854,-7.32749364429585e-05,0.00430343786339203,-1.898639838912819e-05,0.004018738973604763,-4.553845954329511e-05,0.06865487353011569,7.994919426375211e-08,0.0017192049134939688,0.00028552153627692673,0.0006432651754914741,9.717422370887101e-07,9.622356014188599e-07
23,9854,0.9854,-5.999964448306675e-05,0.0033867740939075054,-1.5453493445155744e-05,0.0030147527567926107,-4.5338586557635875e-05,0.07293838612167396,3.347221628904782e-08,0.0017917255518152585,0.0003526925459046415,0.0006007250875571078,9.71753003814684e-07,9.62245964032307e-07
24,9854,0.9854,-4.578798134562278e-05,0.0025635109953043886,-1.1681228210213219e-05,0.0022161347752430944,-4.52549060169131e-05,0.0774053632747338,-1.3151739079450624e-08,0.0018687045869504686,0.0004178588459491798,0.0005494747948767791,9.717650867068638e-07,9.622583214840376e-07
25,9854,0.9854,-3.086158879382957e-05,0.0020318897725420905,-7.72752725705699e-06,0.0019692430587348866,-4.5287785364611576e-05,0.08206661389211103,-6.007961484543349e-08,0.0019503257922588882,0.000478579568044949,0.0004905262348675363,9.717786550188684e-07,9.622728744158874e-07
26,9854,0.9854,-1.545322664507158e-05,0.00207202124987695,-3.653040278910429e-06,0.0024602987286385593,-4.543798440172517e-05,0.08693346226730084,-1.0747563190662841e-07,0.0020367836835210877,0.0005331983722507769,0.0004251681413408336,9.717939098425464e-07,9.622898216914384e-07
27,9854,0.9854,1.9686130395858286e-07,0.0026562009010812626,4.797983552857831e-07,0.003361738251657259,-4.570667348149203e-05,0.09201776478799449,-1.5551271576195619e-07,0.002128283815929395,0.0005804756651690147,0.0003551121709285346,9.718110872721505e-07,9.623093587449915e-07
28,9854,0.9854,1.5844697098775994e-05,0.003498998741951468,4.607735184213404e-06,0.004392698602227018,-4.609545527089713e-05,0.09733192942907751,-2.043740968449221e-07,0.0022250430815484107,0.0006194474263254401,0.00028289491588484643,9.718304608665523e-07,9.623316779348083e-07
29,9854,0.9854,3.124637553693519e-05,0.004419622759189569,8.667673138940427e-06,0.005434967084638094,-4.6606390513009436e-05,0.10288893757223672,-2.542551093702329e-07,0.0023272900042374603,0.0006493679184826524,0.0002130993119216651,9.718523431946816e-07,9.623569714717994e-07
30,9854,0.9854,4.6161868635285913e-05,0.005335893630499684,1.2597641582519547e-05,0.006433717813330028,-4.7242028286434846e-05,0.10870236779845859,-3.0536521645915247e-07,0.0024352650283227598,0.0006696860637588444,0.00015622231356682677,9.718770862541718e-07,9.623854373739501e-07
31,9854,0.9854,6.0358768184630646e-05,0.006205045161020014,1.633774569539192e-05,0.007356583367973119,-4.800544132758287e-05,0.11478642137484465,-3.5793029237611236e-07,0.0025492207965305456,0.0006800360039796745,0.00013535024518175615,9.719050805724763e-07,9.62417288713912e-07
32,9854,0.9854,7.361590791500731e-05,0.007000075758106431,1.9831080379654156e-05,0.008180846472840482,-4.890026705852315e-05,0.12115594920768764,-4.1219519592300946e-07,0.0026694224118330953,0.0006802336489053311,0.0001659308295400374,9.719367528450692e-07,9.624527661965257e-07
33,9854,0.9854,8.572680870475109e-05,0.007701532385546414,2.3024594475417157e-05,0.008889100518562466,-4.993075504833065e-05,0.12782648006597883,-4.6842667233537763e-07,0.0027961476769064394,0.0006702756379971315,0.00022687390489885707,9.719725620499055e-07,9.62492153845461e-07
34,9854,0.9854,9.65028930630144e-05,0.008294468365869404,2.5869891930438753e-05,0.009467636020039255,-5.110182172916999e-05,0.13481424989773672,-5.269166243107882e-07,0.0029296873038401243,0.0006503393321221874,0.0002977336004183492,9.720129941123743e-07,9.625357973177268e-07
35,9854,0.9854,0.00010577641875452427,0.00876723591181113,2.8323957625902048e-05,0.009905810001738511,-5.2419113289947194e-05,0.14213623206864845,-5.879857959396686e-07,0.0030703450855643494,0.0006207838130451347,0.0003697823176259457,9.72058555386497e-07,9.625841241242298e-07
36,9854,0.9854,0.00011340308585976422,0.00911098927981915,3.03497968191039e-05,0.010195801603801371,-5.3889077779795935e-05,0.14981016835042985,-6.519879161175581e-07,0.0032184380191577562,0.0005821532170584223,0.00043904228847479066,9.721097654610762e-07,9.626376648311805e-07
37,9854,0.9854,0.00011926427670386394,0.009319481960631749,3.1916978597122116e-05,0.010332525115238097,-5.5519047570090114e-05,0.1578546004762938,-7.193143502459687e-07,0.0033742963697609625,0.0005351858691154537,0.0005032043839866701,9.7216715007656e-07,9.626970741600163e-07
38,9854,0.9854,0.0001232688938623654,0.0093889887119902,3.3002075320561976e-05,0.010313604778235471,-5.73173334457053e-05,0.16628890206375266,-7.903993103487401e-07,0.0035382636622399723,0.0004808371661702409,0.0005606639378830715,9.722312352178854e-07,9.627631507936594e-07
39,9854,0.9854,0.00012535476777080873,0.009318279259016857,3.358899174699941e-05,0.01013937012019867,-5.9293331721577225e-05,0.17513331068111757,-8.657256737153925e-07,0.0037106965860163464,0.00042033505022166264,0.0006101966386167156,9.723025436881088e-07,9.628368546297412e-07
40,9854,0.9854,0.00012548961222824974,0.009108612582018907,3.3669179331377085e-05,0.009812856750144346,-6.145764590586523e-05,0.18440895980370053,-9.45831458291999e-07,0.003891964796608577,0.00035531644599607194,0.0006508387128616817,9.723815956172882e-07,9.629193201929652e-07
41,9854,0.9854,0.00012367151318583636,0.008763743180526418,3.32417330753206e-05,0.009339814626752405,-6.382222455159649e-05,0.1941379103689208,-1.031316998589188e-06,0.004082450595418507,0.00028818154989346804,0.000681840188155452,9.72468914375661e-07,9.630118649307147e-07
42,9854,0.9854,0.00011992894353853813,0.008289948189113142,3.231337020787663e-05,0.00872874403953521,-6.640051704806936e-05,0.20434318159619616,-1.1228528580237641e-06,0.004282548467162559,0.0002230859653011729,0.0007026467282057263,9.725650392043665e-07,9.631159911855568e-07
43,9854,0.9854,0.0001143203040754754,0.007696106828411536,3.0898291894561644e-05,0.007991010291436947,-6.920764919312939e-05,0.2150487806875481,-1.221188501325653e-06,0.00449266445211442,0.00016875314234053587,0.0007128931092311023,9.726705455365429e-07,9.632333807947781e-07
44,9854,0.9854,0.00010693299817469156,0.006993906160654927,2.901793105769837e-05,0.00714115513276072,-7.226062044644409e-05,0.22627973096812892,-1.3271617326939454e-06,0.0047132153280299805,0.00014319353197403146,0.0007124012956469619,9.727860734690475e-07,9.633658815584194e-07
45,9854,0.9854,9.788205513427784e-05,0.006198344145741508,2.6700591216951784e-05,0.006197692213418475,-7.557852477817892e-05,0.23806209796229313,-1.4417088803234312e-06,0.004944627574317621,0.00016230665418478357,0.0007011800761314984,9.729123641986415e-07,9.635154852914618e-07
46,9854,0.9854,8.730832409800973e-05,0.005328951081266348,2.398098299375229e-05,0.005185154813115774,-7.918279697898876e-05,0.25042301283037494,-1.565875674078777e-06,0.005187336088765193,0.0002136132338136381,0.0006794251176238539,9.730503035169722e-07,9.636842978754946e-07
47,9854,0.9854,7.537626724824006e-05,0.004412865695237002,2.0899666537232066e-05,0.004139705854710028,-8.309748616418636e-05,0.26339069251410796,-1.7008287185949747e-06,0.005441782625027028,0.0002777847562032444,0.0006475194954730167,9.732009707383694e-07,9.638745026634695e-07
48,9854,0.9854,6.227138719530487e-05,0.003493138682552452,1.7502409594548914e-05,0.003126093812064777,-8.734955796067355e-05,0.2769944558549608,-1.8478674068978685e-06,0.005708413917219964,0.0003449358420727015,0.0006060359917266504,9.733656907836625e-07,9.640883197357698e-07
49,9854,0.9854,4.8197329191823844e-05,0.0026525891486419493,1.3839472239483826e-05,0.002291355104431509,-9.196922647791703e-05,0.2912647348601244,-2.008436047655567e-06,0.005987679456511194,0.000410457739676003,0.0005557444792819176,9.73546086617443e-07,9.643279647681372e-07
50,9854,0.9854,3.337270385139979e-05,0.002073039804942228,9.964830367152926e-06,0.001962709449969768,-9.699031659705714e-05,0.3062330801963877,-2.1841358903304415e-06,0.006280028883663039,0.00047176975132435156,0.0004976320667802084,9.73744128866393e-07,9.645956125024854e-07
51,9854,0.9854,1.802768037386042e-05,0.002038661900790552,5.935350939917768e-06,0.002380157504801796,-0.00010245065632288198,0.3219321598939845,-2.3767366249886767e-06,0.0065859089613170795,0.0005271489259103221,0.0004329545674791367,9.739621792370087e-07,9.648933708141945e-07
52,9854,0.9854,2.4004038043263107e-06,0.00257308271457079,1.8099326139797826e-06,0.003252072746823234,-0.00010839249788535236,0.3383957501424915,-2.5881868060551205e-06,0.006905760090564124,0.0005753164237087179,0.0003633685122978073,9.74203024287135e-07,9.652232719254958e-07
53,9854,0.9854,-1.3266707475372065e-05,0.003396709096351604,-2.351374224533043e-06,0.004275351710849498,-0.00011486296490049072,0.3556587169613739,-2.8206225014852698e-06,0.007240012338290407,0.0006152800097788556,0.0002912902057606955,9.744698961676632e-07,9.655872872220495e-07
54,9854,0.9854,-2.8730726049873748e-05,0.004312815460529752,-6.488253838983308e-06,0.00531912738723777,-0.00012191452115420356,0.3737569874318305,-3.0763733016543456e-06,0.007589080945163864,0.0006462704182689132,0.00022097117362308423,9.747664771345307e-07,9.659873712444374e-07
55,9854,0.9854,-4.375198274559195e-05,0.005231536787026724,-1.054100387263827e-05,0.006324192475692536,-0.00012960545440833881,0.3927275090879172,-3.3579646386814466e-06,0.00795336128918373,0.0006677151052367625,0.00016190887195061641,9.75096884966923e-07,9.664255386995296e-07
56,9854,0.9854,-5.8097778144787426e-05,0.006107145147857299,-1.4451392731612279e-05,0.007256469915123528,-0.0001380003660050443,0.4126081959880082,-3.668115172500952e-06,0.00833322328671418,0.0006792277102835458,0.00013570611231425694,9.754656369898466e-07,9.66903975838658e-07
57,9854,0.9854,-7.154598063071237e-05,0.006911347854677185,-1.816348253737361e-05,0.0080924091570027,-0.00014717065393629546,0.43343785992776107,-4.009727803712057e-06,0.008729005222089855,0.0006806041784933435,0.00016098922253800257,9.75877591301536e-07,9.67425184470355e-07
58,9854,0.9854,-8.388845520076931e-05,0.007624006203822614,-2.162440541966103e-05,0.00881409050188155,-0.0001571949734455758,0.4552561252189019,-4.385872688124212e-06,0.009141007008410605,0.0006718216009697129,0.0002196576060907038,9.763378651776958e-07,9.679921535006559e-07
59,9854,0.9854,-9.493427011514868e-05,0.00822972621148659,-2.4785081996423104e-05,0.0094074195589046,-0.00016815965516588723,0.4781033254510356,-4.799760471699651e-06,0.009569482896166086,0.0006530382062972753,0.00028985957022198747,9.768517325666394e-07,9.686085495589735e-07
60,9854,0.9854,-0.00010451263211643269,0.008716513622554406,-2.760087216354201e-05,0.009861423617115677,-0.0001801590563451364,0.5020203806835694,-5.2547038600565215e-06,0.010014633662895006,0.0006245943568887986,0.0003619310437741245,9.77424505124522e-07,9.692789152988646e-07
61,9854,0.9854,-0.0001124755053980825,0.009075221542926056,-3.0032149766899454e-05,0.010167978093093074,-0.00019329581599527993,0.5270486535892894,-5.7540656115378655e-06,0.010476598336125433,0.0005870157390863297,0.0004315633069230516,9.780614042574887e-07,9.700088616234807e-07
62,9854,0.9854,-0.00011869987463952485,0.009299324440773454,-3.2044794321048166e-05,0.010321708389578854,-0.00020768098002412478,0.5532297831977856,-6.3011911289486175e-06,0.01095544552316436,0.0005410219688801939,0.0004963186127888258,9.787674348603363e-07,9.708052385378376e-07
63,9854,0.9854,-0.0001230896181728872,0.00938483091795292,-3.361059463599645e-05,0.010319961578889487,-0.00022343395784649904,0.5806054950730767,-6.8993240567372865e-06,0.011451164444552719,0.0004875479966727108,0.0005545305859317184,9.795472744227388e-07,9.71676268632826e-07
64,9854,0.9854,-0.0001255769636000724,0.009330254568734788,-3.470756097586654e-05,0.010162802454785071,-0.00024068226798834125,0.609217387011993,-7.5515037016939565e-06,0.01196365579264865,0.000427795643141664,0.0006049378953994236,9.804051933390036e-07,9.726316273451923e-07
65,9854,0.9854,-0.00012612350482802157,0.009136608445267364,-3.5320144156549064e-05,0.009853016890087598,-0.0002595610272425796,0.6391066896733204,-8.26044371585374e-06,0.012492722562134797,0.0003633591378950845,0.0006465498612331062,9.813450229851826e-07,9.736824550915552e-07
66,9854,0.9854,-0.00012472076641647663,0.008807412706664958,-3.54393617476341e-05,0.009396123347016701,-0.0002802121365322149,0.6703140019457859,-9.028392330500848e-06,0.01303806102436672,0.000296546628112683,0.000678594178862181,9.823701868762054e-07,9.74841288181978e-07
67,9854,0.9854,-0.0001213903082132459,0.008348722959567094,-3.5062833229376606e-05,0.008800411714167464,-0.0003027831173584661,0.7028790013364888,-9.856975514746232e-06,0.013599252041315743,0.0002312652300829959,0.0007004965489878937,9.834838066454676e-07,9.76121898242108e-07
68,9854,0.9854,-0.00011618337036186316,0.007769208954022581,-3.419472752109882e-05,0.008077058593540827,-0.00032742555614533096,0.7368401302081684,-1.0747025734145235e-05,0.014175752936185846,0.00017551077416265974,0.0007118733200431535,9.84688888681449e-07,9.775390339991128e-07
69,9854,0.9854,-0.00010918006578183055,0.00708035375604601,-3.2845627698092134e-05,0.007240432210180806,-0.00035429312048069735,0.7722342593078938,-1.1698400459987544e-05,0.014766890155264091,0.00014597717464495447,0.0007125293535271648,9.85988589369101e-07,9.791080650740392e-07
70,9854,0.9854,-0.00010048813402327031,0.006296934162117822,-3.103231890845094e-05,0.006308858963927569,-0.0003835391216306647,0.8090963307014631,-1.2709796153024534e-05,0.01537185296780593,0.00015995328891688155,0.0007024577637085272,9.873865477461736e-07,9.808445351545143e-07
71,9854,0.9854,-9.024127687494358e-05,0.005438172513317146,-2.877750645379705e-05,0.005306566159892949,-0.0004153136120132296,0.847458982942804,-1.3778565010059802e-05,0.015989688456385702,0.0002082251995085905,0.0006818402562688248,9.888872650021369e-07,9.82763641622047e-07
72,9854,0.9854,-7.859710215809189e-05,0.004530592015499963,-2.6109471680668445e-05,0.004268897416775569,-0.00044976002453837985,0.8873521620473175,-1.4900543184639103e-05,0.016619298047887643,0.0002711313097048778,0.0006510480717106562,9.904965017470975e-07,9.848796699291135e-07
73,9854,0.9854,-6.573470768418686e-05,0.003615562679086985,-2.3061673724071484e-05,0.0032576423206972325,-0.0004870113824999751,0.9288027225796469,-1.6069900323546914e-05,0.01725943582410325,0.00033787768940196216,0.0006106448150223756,9.922216574216933e-07,9.872054227107843e-07
74,9854,0.9854,-5.185194232567593e-05,0.002770449569918396,-1.9672305244131475e-05,0.002408202044695725,-0.0005271861333088438,0.971834023883271,-1.7279020946604787e-05,0.01790870882996888,0.00040344051648720915,0.0005613944943285665,9.940720924303884e-07,9.897516940841779e-07
75,9854,0.9854,-3.716238549770107e-05,0.0021611387396177632,-1.5983810106316477e-05,0.002020792350264636,-0.000570383685675355,1.016465527142341,-1.8518428303769873e-05,0.018565579566453903,0.00046506461089247523,0.0005042823974286869,9.96059353035712e-07,9.92526846686413e-07
76,9854,0.9854,-2.1892090047903738e-05,0.0020598921222339884,-1.2042370494418034e-05,0.0023599922080227587,-0.0006166797564347783,1.0627123995443464,-1.9776760775148538e-05,0.01922837081411294,0.0005209442665238421,0.00044056698608225603,9.981972618579738e-07,9.955365504605922e-07
77,9854,0.9854,-6.2761365921572175e-06,0.0025333282697731145,-7.8973702467174e-06,0.00318778671644228,-0.0006661216583726558,1.1105851322743336,-2.1040809598884997e-05,0.01989527288300785,0.0005697549015994877,0.00037190996593260893,1.0005018427992297e-06,9.987837361353927e-07
78,9854,0.9854,9.44495027577482e-06,0.003325101716033026,-3.6008403171911206e-06,0.004191824112971073,-0.0007187236823698634,1.1600891793878683,-2.229562475255661e-05,0.02056435332632628,0.0006104750956712013,0.0003007205188849485,1.0029910580134356e-06,1.0022688017889408e-06
79,9854,0.9854,2.5028871713032654e-05,0.004226942964379416,7.931087537067647e-07,0.005228036782021761,-0.0007744627442512522,1.2112246247543514,-2.352469328243482e-05,0.021233569090369775,0.0006423147393600501,0.00023114722891160429,1.0056843458310795e-06,1.0059900882199497e-06
80,9854,0.9854,4.023525695177053e-05,0.005140313688460708,5.228863547637661e-06,0.006231597619557363,-0.0008332744774573356,1.2639858842134752,-2.4710191440727554e-05,0.02190078100495016,0.0006646853134678979,0.00017206103378579316,1.0086019620492565e-06,1.0099446099820305e-06
81,9854,0.9854,5.482934429822633e-05,0.0060156363132888874,9.649890894091626e-06,0.00716605379171508,-0.0008950499560591607,1.3183614498311356,-2.583330886098869e-05,0.022563770448292893,0.0006771878927229428,0.0001429454439970551,1.0117641424990957e-06,1.014128997175548e-06
82,9854,0.9854,6.858558686964913e-05,0.006822864104060375,1.3999325590475785e-05,0.008006715204768238,-0.0009596332282116292,1.374333682670838,-2.6874639888332707e-05,0.023220257952206752,0.0006796087570546819,0.00016269163641921894,1.0151901219696612e-06,1.0185405726515221e-06
83,9854,0.9854,8.129112967259739e-05,0.007540966619280743,1.8220561641593115e-05,0.008735042804192739,-0.0010268198279324615,1.4318786598155433,-2.7814634264428385e-05,0.023867923449497022,0.000671918231291548,0.00021751422795020272,1.0188970626943828e-06,1.0231784645674016e-06
84,9854,0.9854,9.274910574049798e-05,0.008154044220717234,2.2257846425951854e-05,0.009336572772358272,-0.0010963564135935313,1.4909660804955907,-2.863409676559269e-05,0.024504427809202048,0.0006542710224535455,0.000285727819065943,1.0228989633478486e-06,1.0280446390368245e-06
85,9854,0.9854,0.00010278170077413102,0.008649790621641385,2.6056877355829212e-05,0.009800102304211099,-0.0011679416555075114,1.5515592351227556,-2.9314723145316683e-05,0.025127435258757335,0.0006270078954260747,0.0003567706301660496,1.027205634732701e-06,1.033144734436984e-06
86,9854,0.9854,0.0001112329381222774,0.009018857626044265,2.956540039944554e-05,0.010117368333159875,-0.0012412284633707988,1.6136150398291715,-2.9839657805869908e-05,0.025734636257765033,0.0005906599828489782,0.0004258808272729552,1.0318218382539306e-06,1.0384885885976823e-06
87,9854,0.9854,0.00011797113906935639,0.009254592045295352,3.273380926950968e-05,0.010282929029166074,-0.0013158276078854701,1.6770841378004926,-3.019405693609109e-05,0.026323770367312614,0.0005459591971382118,0.0004904192690957779,1.0367466848073377e-06,1.044090371706245e-06
88,9854,0.9854,0.00012289101733114195,0.009352932381106521,3.5515743175707885e-05,0.010294128535109354,-0.0013913127502256986,1.7419110673184124,-3.0365639321426712e-05,0.026892648652872282,0.0004938625501670553,0.0005486236454466493,1.0419733821851656e-06,1.0499682690359442e-06
89,9854,0.9854,0.00012591537145320217,0.009312374480592456,3.7868679842697075e-05,0.0101510941072936,-0.0014672268485292623,1.8080344950350207,-3.034520562728985e-05,0.027439175168323636,0.00043560823318618903,0.000599183637416493,1.0474893970779479e-06,1.056143695394224e-06
90,9854,0.9854,0.00012699634448421756,0.009133967791698866,3.9754519090282944e-05,0.009856747369479286,-0.0015430898625974838,1.8753875116381673,-3.0127105747626928e-05,0.027961367093637775,0.0003728469694042518,0.0006410830304893646,1.0532770637013347e-06,1.062640064055854e-06
91,9854,0.9854,0.00012611622683783038,0.008821331124025198,4.11401507603099e-05,0.009416832204822761,-0.001618407626966562,1.94389798577979,-2.9709632994443967e-05,0.028457373138719808,0.00030796290131651855,0.0006735373062031852,1.059314627758268e-06,1.0694811736244364e-06
92,9854,0.9854,0.00012328778558658182,0.00838069714341651,4.199799926990272e-05,0.008839983433425238,-0.0016926817094526758,2.0134889709718347,-2.909532380078425e-05,0.028925489879657453,0.0002448980202909957,0.0006959685978792112,1.0655776667464123e-06,1.076689313860773e-06
93,9854,0.9854,0.00011855411141384219,0.007821019700216921,4.230653569091514e-05,0.008137895592492632,-0.0017654200189546388,2.0840791591458547,-2.8291142618726698e-05,0.02936417575926241,0.00019122983803638904,0.0007079960964604357,1.0720407818544463e-06,1.084283223475547e-06
94,9854,0.9854,0.00011198798289096265,0.007154222463363595,4.2050747111930934e-05,0.007325724530462087,-0.0018361478755014608,2.1555833737549066,-2.7308534217328472e-05,0.029772062558629263,0.00016140623714909412,0.000709432903121597,1.0786794194990952e-06,1.0922760568102413e-06
95,9854,0.9854,0.00010369075640720196,0.0063957633439005734,4.122255222698294e-05,0.006423029403043198,-0.001904419211044782,2.227913094694125,-2.616332992837438e-05,0.030147964227012946,0.0001704204058681537,0.0007002855103915802,1.08547165764882e-06,1.100673529815914e-06
96,9854,0.9854,9.379079869082121e-05,0.005565920531635261,3.9821151685322015e-05,0.005456021378821243,-0.0019698275358657215,2.3009770069442212,-2.4875500657980715e-05,0.03049088303953965,0.00021287034179070618,0.0006807545357731849,1.0923997871616398e-06,1.1094724163856814e-06
97,9854,0.9854,8.244148714680391e-05,0.004692807927833478,3.7853301770401024e-05,0.004463187254179737,-0.0020320162875106687,2.3746815647046393,-2.346875750972297e-05,0.030800013131636404,0.0002716711107893607,0.00065123687367779,1.099451532466349e-06,1.118659551848225e-06
98,9854,0.9854,6.98188109438416e-05,0.003819756262644653,3.5333500462806215e-05,0.003510123405491557,-0.002090688181284983,2.448931562874316,-2.1970010165591847e-05,0.031074741531106852,0.0003357042964920594,0.0006123310000561828,1.1066207873065766e-06,1.1282114701658695e-06
99,9854,0.9854,5.61186126942049e-05,0.0030236147253738105,3.2284075858987106e-05,0.0027272434697596104,-0.002145613206698958,2.523630708041578,-2.0408702965511845e-05,0.03131464686945252,0.0003994069883561047,0.000564849662652599,1.1139077858928382e-06,1.1380947556299675e-06
100,9854,0.9854,4.155351652408597e-05,0.0024515994404772203,2.8735168216650257e-05,0.002359169747949217,-0.002196634964112736,2.5986821816351178,-1.8816057920256e-05,0.03151949600018103,0.00045971620018600144,0.0005098493030716772,1.1213186821297737e-06,1.1482671313323935e-06
