step,residue_coherence,orientation_alignment,corridor_count
0,0.00021327,0.00129529,0
100,0.0249899,0.00136084,0
200,0.0760876,0.00246962,0
300,0.208495,0.00238343,0
400,0.564695,0.000852985,40626
500,1.52763,0.000464308,65536
600,4.13206,0.000652557,65536
700,11.1765,0.000723218,65536
800,30.2304,0.000730714,65536
900,81.767,0.000751829,65536
1000,221.165,0.000754395,65536
1100,598.206,0.00075437,65536
1200,1618.05,0.000754369,65536
1300,4376.52,0.000754376,65536
1400,11837.7,0.000754363,65536
1500,32018.8,0.000754355,65536
1600,86604.2,0.000754364,65536
1700,234250,0.000754348,65536
1800,633604,0.000754357,65536
1900,1.71379e+06,0.00075437,65536
1999,4.58954e+06,0.000754359,65536
