step,residue_coherence,orientation_alignment,corridor_count
0,3.12979e-06,0.00126926,0
100,0.000153518,0.0013769,0
200,0.000200791,0.00157384,0
300,0.000249105,0.00177191,0
400,0.000296067,0.00194073,0
500,0.000331967,0.00207666,0
600,0.000355003,0.00218274,0
700,0.000367478,0.00226309,0
800,0.000372354,0.00232177,0
900,0.000372055,0.00236258,0
1000,0.000368317,0.00238896,0
1100,0.000362306,0.00240392,0
1200,0.000354818,0.00241019,0
1300,0.000346387,0.00240989,0
1400,0.000337369,0.00240485,0
1500,0.000328022,0.00239655,0
1600,0.000318513,0.00238606,0
1700,0.000308964,0.00237423,0
1800,0.000299464,0.00236179,0
1900,0.000290077,0.00234917,0
1999,0.000280932,0.00233687,0
