active_fraction,mean_mismatch,max_mismatch,mean_residue,step
0.002,0.00065,0.5,0.00016,0
0.0052,0.0006158034871304698,0.33711828125000004,0.0036037969459028914,10
0.0092,0.0006127382566806086,0.33711828125000004,0.008748245173102454,20
0.0132,0.0006026989884239234,0.3026609403125,0.015602400838018022,30
0.0172,0.0005939781027602302,0.3026609403125,0.024442881685066198,40
0.0192,0.0005979589775570014,0.2721843076257673,0.03391605325935146,50
0.0152,0.0005802453156288607,0.2721843076257673,0.04013650717301015,60
0.0108,0.0005837402941061846,0.2458400390731336,0.042118567841519905,70
0.0068,0.0005898831187677938,0.2458400390731336,0.04091860374142027,80
0.0028,0.000579916508545336,0.2458400390731336,0.037025691097083244,90
0.0004,0.0005725184148067983,0.22360033980216354,0.03096967557395916,100
0.0008,0.0005698706993638025,0.22360033980216354,0.025581839647109104,110
0.0,0.0005716455348955656,0.22360033980216354,0.021189826588665098,120
0.0,0.0005701656523040922,0.20475440862583938,0.017585383607868255,130
0.0,0.0005632414014439094,0.20475440862583938,0.014543424036058534,140
0.0028,0.0005612050734715982,0.20475440862583938,0.012315283200537869,150
0.0,0.000556784098999308,0.18862478594629437,0.010186602027526316,160
0.0,0.0005542470340574529,0.18862478594629437,0.008560008217892595,170
0.0012,0.0005458477066320329,0.18862478594629437,0.007181131322693969,180
0.0004,0.0005512191068791916,0.18862478594629437,0.006196667506879691,190
0.0004,0.0005446221247992117,0.1746779295410254,0.005250412895333916,200
0.0,0.0005421072111403686,0.1746779295410254,0.0044937484919572454,210
0.0008,0.0005388389665311229,0.1746779295410254,0.0039367425509218125,220
0.0012,0.0005404888955943887,0.1746779295410254,0.0035997097945111526,230
0.0008,0.0005337911858059716,0.1625020154336232,0.0031497403242805823,240
0.0,0.0005327988903060751,0.1625020154336232,0.002689401097166018,250
0.0012,0.0005297578550984396,0.1625020154336232,0.0025286098727109515,260
0.0008,0.0005304170942700417,0.1625020154336232,0.0023934331264173162,270
0.0,0.0005300631434366336,0.15178133068308133,0.0022170745763866345,280
0.0,0.0005234936538500779,0.15178133068308133,0.002019977097634894,290
0.0004,0.0005228509181636649,0.15178133068308133,0.0017958793221360928,300
0.0,0.000520447950496114,0.15178133068308133,0.0018948950782236575,310
0.0012,0.0005223412087615145,0.141805283025425,0.0018007771038485135,320
0.0004,0.0005173883151654245,0.141805283025425,0.001588441818068122,330
0.0008,0.0005142323412385843,0.141805283025425,0.0016163196341859552,340
0.0,0.0005156297330152068,0.141805283025425,0.0014922868934962655,350
0.0005,0.0005152895022207406,0.13293265347790598,0.0015959190633669496,360
0.0016,0.0005151113278057276,0.13293265347790598,0.0017141653419714014,370
0.0,0.0005093809063958116,0.13293265347790598,0.0016976594161143726,380
0.0,0.0005101780959064332,0.13293265347790598,0.0015028850128265883,390
0.0,0.0005083602826468605,0.13293265347790598,0.0014884132705701603,400
0.0008,0.0005072659996841145,0.12507415181132836,0.0015617211135160512,410
0.0004,0.0005059411126857182,0.12507415181132836,0.0016638837295676347,420
0.0,0.0005047798391116651,0.12507415181132836,0.0015275137963441149,430
0.0008,0.00050397118748169,0.12507415181132836,0.0013387699135265032,440
0.0,0.0005022682774078051,0.12507415181132836,0.0013502104385139276,450
0.0004,0.000501971976188646,0.12507415181132836,0.0015750959305788526,460
0.0,0.0004988657922211516,0.11807574446644666,0.0014652212330673994,470
0.0008,0.0004978427150176652,0.11807574446644666,0.001461202181674054,480
0.0004,0.0004982756180987691,0.11807574446644666,0.001578667362386956,490
0.0,0.0004963115383433051,0.11807574446644666,0.0015706599051283766,500
0.0,0.0004941634617234162,0.11807574446644666,0.001563548896996176,510
0.0,0.0004950997161546936,0.11179817079222291,0.0017245797543880333,520
0.0004,0.0004945067731414427,0.11179817079222291,0.0016219144396144665,530
0.0012,0.0004932412791762523,0.11179817079222291,0.0015047001844835642,540
0.0,0.0004906102042581883,0.11179817079222291,0.0016267155932614653,550
0.0,0.0004885011182376987,0.11179817079222291,0.0015855895404172564,560
0.0,0.0004885490978540496,0.11179817079222291,0.0014431450964754627,570
0.0016,0.0004906458302959769,0.10613212282718432,0.001579385107558719,580
0.0,0.0004871586128888514,0.10613212282718432,0.0015257858122878223,590
0.0,0.00048191395117740577,0.10613212282718432,0.001622649585818517,600
0.0,0.00048305284256093783,0.10613212282718432,0.00158624673742169,610
0.0,0.0004859907558193953,0.10613212282718432,0.0016018291307098983,620
0.0008,0.0004866993281697977,0.10613212282718432,0.0014920788742233762,630
0.0,0.0004826944301801676,0.0984188915022649,0.0017163337078745986,640
0.0,0.0004803856992558916,0.0984188915022649,0.0017832301611632002,650
0.0,0.00047984765172338575,0.0984188915022649,0.001757378263923961,660
0.0012,0.0004808195632260189,0.0984188915022649,0.0018278232808556108,670
0.0,0.00048106388071777583,0.0984188915022649,0.0015468245553594282,680
0.0,0.00047868955017687663,0.0984188915022649,0.001407350160264404,690
0.0008,0.0004766161553909555,0.09278068396553693,0.0018251206882191,700
0.0,0.00047711545615931384,0.09278068396553693,0.001752569082199936,710
0.0008,0.00047597338347824225,0.09278068396553693,0.0017517822629070313,720
0.0,0.00047743452156688413,0.09278068396553693,0.0017711890379369202,730
0.0,0.00047533640012934234,0.09278068396553693,0.0016770106791937028,740
0.0008,0.00047563150964198596,0.09278068396553693,0.0016900328581615355,750
0.0,0.0004730647682436477,0.09278068396553693,0.0017783472197689186,760
0.0,0.00047277844286286984,0.08813372779302527,0.0016938133862809956,770
0.0,0.00047341220204963406,0.08813372779302527,0.0018034573427404097,780
0.0016,0.0004725507518981199,0.08813372779302527,0.0017161007965053588,790
0.0,0.00047151362874827026,0.08813372779302527,0.0015470191936454221,800
0.0008,0.00046956816467479953,0.08813372779302527,0.0016169644672678768,810
0.0012,0.0004693111375680687,0.08813372779302527,0.0016760854764021375,820
0.0,0.00046946258571360004,0.08813372779302527,0.001984246810643627,830
0.0004,0.00046914489517207054,0.0840864153866075,0.0020291461858871237,840
0.0,0.00046807623516916593,0.0840864153866075,0.0018282025196994815,850
0.0,0.00046838184740962275,0.0840864153866075,0.0018820207416779056,860
0.0008,0.0004671231628079993,0.0840864153866075,0.0018658007800728437,870
0.0008,0.00046788836964358616,0.0840864153866075,0.0019146833073175,880
0.0008,0.0004677265083179484,0.0840864153866075,0.0018282088940236654,890
0.0,0.0004655232782836202,0.0840864153866075,0.0018336453754542535,900
0.0008,0.0004644844121434267,0.08046411622472624,0.0019210612960228956,910
0.0,0.0004639455858298874,0.08046411622472624,0.0017108492663138162,920
0.0,0.00046206435360677666,0.08046411622472624,0.0017269231362476245,930
