model,param,seed,mismatch,order,residue
agent,0.0,42,0.0,0.9990304169670172,0.0
agent,0.0,43,0.0,0.9980083415401052,0.0
agent,0.0,44,0.0,0.9982924331344016,0.0
agent,0.001,42,0.0099506531724049,0.9990304169670172,0.391663698853881
agent,0.001,43,0.0099709858293422,0.9980083415401052,0.3953985896454557
agent,0.001,44,0.0099657318604741,0.9982924331344016,0.3943039056113639
agent,0.01,42,0.0995065317240497,0.9990304169670172,3.91663698853881
agent,0.01,43,0.099709858293422,0.9980083415401052,3.953985896454557
agent,0.01,44,0.0996573186047419,0.9982924331344016,3.943039056113639
agent,0.1,42,0.9950653172404976,0.9990304169670172,39.16636988538811
agent,0.1,43,0.9970985829342208,0.9980083415401052,39.53985896454558
agent,0.1,44,0.9965731860474194,0.9982924331344016,39.43039056113639
box,0.0,1000,0.04936873942683866,0.34765625,0.03270821373222288
box,0.0,1001,0.04936873942683866,0.34765625,0.03270821373222288
box,0.0,1002,0.04936873942683866,0.34765625,0.03270821373222288
box,0.005,1000,0.05862745947014151,0.37109375,0.03632534839994312
box,0.005,1001,0.05862745947014151,0.37109375,0.03632534839994312
box,0.005,1002,0.05862745947014151,0.37109375,0.03632534839994312
box,0.01,1000,0.06768097275277814,0.40234375,0.03989265715837227
box,0.01,1001,0.06768097275277814,0.40234375,0.03989265715837227
box,0.01,1002,0.06768097275277814,0.40234375,0.03989265715837227
box,0.05,1000,0.13366102219156928,1.0,0.06680738658587032
box,0.05,1001,0.13366102219156928,1.0,0.06680738658587032
box,0.05,1002,0.13366102219156928,1.0,0.06680738658587032
