avg_degree,edge_count,order_parameter,step,time
5.92,148,0.10832173902329963,0,0.0
6.72,168,0.11625906288145307,10,0.5
7.08,177,0.12460911772122905,20,1.0
7.52,188,0.13346004893734048,30,1.5
8.04,201,0.1431310989900776,40,2.0
8.2,205,0.15292307275707726,50,2.5
8.52,213,0.16290532146848236,60,3.0
8.68,217,0.17375966911851093,70,3.5
9.08,227,0.18598877683002776,80,4.0
9.2,230,0.19889920844148792,90,4.5
9.36,234,0.214301239002673,100,5.0
9.04,226,0.23021424447320696,110,5.5
9.08,227,0.2455036342672989,120,6.0
9.36,234,0.26167473319431944,130,6.5
9.52,238,0.2791392947436964,140,7.0
9.56,239,0.29875639440208807,150,7.5
9.92,248,0.3186360863467744,160,8.0
9.84,246,0.33824629505043907,170,8.5
9.88,247,0.3588579118613615,180,9.0
10.4,260,0.37855333925276335,190,9.5
10.4,260,0.3976692103362561,200,10.0
10.56,264,0.41650086053985186,210,10.5
10.48,262,0.4361628858956224,220,11.0
10.56,264,0.4552624604176811,230,11.5
10.8,270,0.4733708211530064,240,12.0
10.8,270,0.4925580360775169,250,12.5
10.68,267,0.5092549736433433,260,13.0
11.08,277,0.5246805109154159,270,13.5
11.48,287,0.541009513767694,280,14.0
11.48,287,0.5584213398145872,290,14.5
11.76,294,0.5771885862539928,300,15.0
12.2,305,0.5965856018000874,310,15.5
12.44,311,0.6164378766721459,320,16.0
12.52,313,0.6367331828082717,330,16.5
12.44,311,0.6567320241401372,340,17.0
13.0,325,0.6751244121303612,350,17.5
13.28,332,0.6919518192914889,360,18.0
13.68,342,0.7085493381143273,370,18.5
13.88,347,0.7252889091759892,380,19.0
14.04,351,0.7416424849533946,390,19.5
14.08,352,0.7561015506760311,400,20.0
14.24,356,0.7685664295540223,410,20.5
14.32,358,0.7792930535082229,420,21.0
14.52,363,0.7896311073620589,430,21.5
14.8,370,0.8000990396009025,440,22.0
15.2,380,0.8099939917967867,450,22.5
15.48,387,0.8190111456668496,460,23.0
15.56,389,0.8272267727617708,470,23.5
15.76,394,0.8341595630830831,480,24.0
15.96,399,0.8399763941483641,490,24.5
16.16,404,0.8455337979785043,500,25.0
16.32,408,0.8507051501472346,510,25.5
16.52,413,0.8555755331708007,520,26.0
16.8,420,0.8594398366020513,530,26.5
17.0,425,0.8632614829207547,540,27.0
17.28,432,0.8670319551682033,550,27.5
17.52,438,0.870506245838438,560,28.0
17.84,446,0.8736940152466205,570,28.5
18.12,453,0.8768345378139497,580,29.0
18.32,458,0.8799377447692555,590,29.5
18.44,461,0.882978187339878,600,30.0
18.8,470,0.8859781735952825,610,30.5
19.16,479,0.8889613583998154,620,31.0
19.28,482,0.8918978295481207,630,31.5
19.48,487,0.8947555817399763,640,32.0
19.72,493,0.8975443331192806,650,32.5
20.04,501,0.9002897838833864,660,33.0
20.32,508,0.9029956143396289,670,33.5
20.4,510,0.9056270541167113,680,34.0
20.68,517,0.9081813001875372,690,34.5
20.92,523,0.9106895469466815,700,35.0
21.0,525,0.9129191217158046,710,35.5
21.24,531,0.9147753777313788,720,36.0
21.44,536,0.9165716159367623,730,36.5
21.8,545,0.9183555630233886,740,37.0
22.28,557,0.9201183268253509,750,37.5
22.48,562,0.9218753728158507,760,38.0
22.76,569,0.9235981400850684,770,38.5
23.12,578,0.9253023239193129,780,39.0
23.44,586,0.9269436086649198,790,39.5
23.8,595,0.9283447599401498,800,40.0
24.24,606,0.9297331322608914,810,40.5
24.68,617,0.9311062677506106,820,41.0
25.04,626,0.9324333350238352,830,41.5
25.52,638,0.9336095134647243,840,42.0
26.08,652,0.9347385180549527,850,42.5
26.44,661,0.9358128607990273,860,43.0
26.92,673,0.9368167253298797,870,43.5
27.12,678,0.9377639947401444,880,44.0
27.64,691,0.9386428840009244,890,44.5
28.04,701,0.9394706454090661,900,45.0
28.4,710,0.9402611360926109,910,45.5
28.88,722,0.9409987742126219,920,46.0
28.92,723,0.9416353377988053,930,46.5
29.24,731,0.9421936629084038,940,47.0
29.4,735,0.9427078165250674,950,47.5
29.6,740,0.9431956615953823,960,48.0
29.68,742,0.9436366768798472,970,48.5
30.0,750,0.9440535555447899,980,49.0
30.32,758,0.944472639667753,990,49.5
