step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56007e-06,0.00193144,0,0,0
100,7.64649e-05,0.00196838,65536,0,0
200,0.000100254,0.00204786,65536,0,0
300,0.000124924,0.00215078,65536,0,0
400,0.000148776,0.00226755,65536,0,0
500,0.000166991,0.00239062,65536,0,0
600,0.000178653,0.00251409,65536,0,0
700,0.00018494,0.00263345,65536,0,0
800,0.000187362,0.00274585,65536,0,0
900,0.000187153,0.00284973,65536,0,0
1000,0.000185199,0.0029446,65536,0,0
1100,0.000182101,0.00303053,65536,0,0
1200,0.000178256,0.00310794,65536,0,0
1300,0.000173942,0.00317745,65536,0,0
1400,0.000169341,0.00323979,65536,0,0
1500,0.000164578,0.00329561,65536,0,0
1600,0.000159739,0.00334562,65536,0,0
1700,0.000154893,0.00339044,65536,0,0
1800,0.000150074,0.00343066,65536,0,0
1900,0.00014532,0.0034668,65536,0,0
1999,0.000140694,0.00349901,65536,0,0
