step,residue_coherence,orientation_alignment,corridor_count
0,3.15164e-06,0.00311148,0
100,0.000154514,0.00314382,0
200,0.000201453,0.00319473,0
300,0.00024941,0.0032359,0
400,0.000296206,0.00325954,0
500,0.000332122,0.00326565,0
600,0.000355218,0.00325842,0
700,0.000367748,0.00324239,0
800,0.000372674,0.00322097,0
900,0.000372416,0.00319681,0
1000,0.000368701,0.00317163,0
1100,0.000362706,0.00314648,0
1200,0.000355234,0.0031221,0
1300,0.00034681,0.00309885,0
1400,0.000337803,0.00307699,0
1500,0.000328463,0.0030566,0
1600,0.000318958,0.00303772,0
1700,0.000309417,0.00302031,0
1800,0.00029992,0.00300431,0
1900,0.000290532,0.0029897,0
1999,0.000281389,0.00297655,0
