x_mean,x_rms,p_rms,order_parameter,residue_mean,mismatch_mean,step,time
-0.051300985808557895,0.44862398221848704,0.47745626415548,0.13326912273994213,1.249948251946462e-05,0.0004999814564274699,0,0.0
-0.03843669090867874,0.4287155404297174,0.4954098768350737,0.13363753969108993,0.001511813605523554,0.0054977728050070625,10,0.5
-0.016161754544922465,0.44120689622691717,0.48431852583016555,0.1338392116001959,0.005507742442410032,0.010491953452932048,20,1.0
0.010070142536508994,0.4731515508397225,0.45316174678283094,0.13388518299205615,0.011997261224022154,0.015482639848164614,30,1.5
0.03383651771349717,0.49453929620138964,0.4297194926818449,0.13378764569636736,0.020977410370951816,0.020469969458803527,40,2.0
0.04931853406598301,0.487570742670883,0.43761024649598684,0.13355979948146604,0.032445304663567896,0.025454095518819796,50,2.5
0.05272565444500755,0.4578569291587452,0.4686096333165221,0.13321571586456732,0.046398139743394726,0.030435181650219252,60,3.0
0.04322369706640918,0.43141653160483423,0.49305956165820713,0.132770206600031,0.06283319592478123,0.035413396517271246,70,3.5
0.023139072277247097,0.4345164016391047,0.4903299408153039,0.1322386978033348,0.08174783937024924,0.040388908653994984,80,4.0
-0.0026108037817564067,0.46391582392855474,0.4626122150687682,0.13163710999798764,0.10313952074871006,0.04536188158631003,90,4.5
-0.027721464029984634,0.4909949524068819,0.4337648083949558,0.13098174360045983,0.1270057715505672,0.05033246934651578,100,5.0
-0.04604494370828991,0.4925495859799766,0.4319986767464795,0.1302891685238277,0.15334419827597942,0.0553008124515801,110,5.5
-0.0530950164144496,0.46733204771016934,0.45916087334569633,0.12957611574004202,0.18215247474141927,0.060267034389635876,120,6.0
-0.04714557867232755,0.43670726333749055,0.4883796838993704,0.12885936786619312,0.21342833276505918,0.06523123863261254,130,6.5
-0.029653260213286944,0.43011795338321346,0.49419277083301405,0.12815564521990594,0.2471695514941244,0.07019350616846488,140,7.0
-0.0049007902460363574,0.4544395294338742,0.47192442374060484,0.12748148342222076,0.2833739456284892,0.07515389352524751,150,7.5
0.02105156391721409,0.48525767741899417,0.4401737534312027,0.12685309861535962,0.32203935277636836,0.08011243124237419,160,8.0
0.04184976150904995,0.4952324693695137,0.42892044373609695,0.12628623680108714,0.3631636201523483,0.08506912273265059,170,8.5
0.05240167893206483,0.4763024091093892,0.44984881895809786,0.12579600476128078,0.40674459079795366,0.09002394347270833,180,9.0
0.05012383907839733,0.4440835138854571,0.48168223613224037,0.12539668151989855,0.45278008947347564,0.09497684045971207,190,9.5
0.03557393655706912,0.42843590651321334,0.49565170935770836,0.12510151130528752,0.5012679083400485,0.09992773187883207,200,10.0
0.012314294610663457,0.44548604759254296,0.4803853905440907,0.12492248135548191,0.5522057925261199,0.10487650693887915,210,10.5
-0.013960315771525717,0.4777156075832932,0.44834778842763995,0.12487009047437901,0.6055914256555842,0.10982302585228827,220,11.0
-0.0368169542647965,0.4954436748209001,0.42867645755907785,0.12495311671666572,0.6614224154086901,0.11476711995953953,230,11.5
-0.05065951919656874,0.4841000885269265,0.4414465353159614,0.12517839463158772,0.7196962791936585,0.1197085920259208,240,12.0
-0.052098868263788345,0.4528724773136766,0.4734284081197756,0.1255506138086561,0.7804104300283207,0.12464721676856497,250,12.5
-0.04078259867894541,0.4296360764145214,0.49461174595332213,0.1260721507800604,0.8435621627675457,0.1295827417017308,260,13.0
-0.019481327647460214,0.437821132585984,0.4873813623045011,0.12674294549975057,0.9091486408631468,0.13451488841562437,270,13.5
0.006589651289775498,0.46889888088445164,0.457560679074132,0.12756043165114386,0.9771668839061879,0.1394433544255915,280,14.0
0.031047253878738298,0.493169479412997,0.43129085217958457,0.12851952711778122,1.0476137562734322,0.14436781574095797,290,14.5
