step,residue_coherence,orientation_alignment,corridor_count
0,3.15903e-06,0.00164237,0
100,0.000154257,0.0016875,0
200,0.000201135,0.00176921,0
300,0.000249102,0.00184169,0
400,0.000295887,0.00189553,0
500,0.000331874,0.00193558,0
600,0.000355065,0.00196546,0
700,0.000367699,0.00198706,0
800,0.00037271,0.00200135,0
900,0.000372526,0.00200911,0
1000,0.000368874,0.00201132,0
1100,0.000362933,0.00200897,0
1200,0.000355499,0.00200303,0
1300,0.000347112,0.00199433,0
1400,0.000338123,0.00198365,0
1500,0.000328795,0.00197157,0
1600,0.000319297,0.00195854,0
1700,0.000309754,0.00194496,0
1800,0.000300259,0.00193113,0
1900,0.000290864,0.00191722,0
1999,0.000281713,0.00190355,0
