step,residue_coherence,orientation_alignment,corridor_count
0,0.000113415,0.00152559,0
100,0.0111223,0.00162697,0
200,0.0269181,0.00248107,0
300,0.0581991,0.00443323,0
400,0.12847,0.00420696,0
500,0.309375,0.000207323,2006
600,0.87478,0.00123606,52910
700,2.64362,0.00139732,65536
800,7.43937,0.00136785,65536
900,20.2509,0.0013789,65536
1000,54.8227,0.00137914,65536
1100,148.302,0.00137914,65536
1200,401.138,0.00137915,65536
1300,1085.01,0.00137916,65536
1400,2934.72,0.00137916,65536
1500,7937.9,0.00137916,65536
1600,21470.6,0.00137916,65536
1700,58074,0.00137916,65536
1800,157079,0.00137916,65536
1900,424868,0.00137915,65536
1999,1.13782e+06,0.00137914,65536
