x_mean,x_rms,order_parameter,residue_mean,mismatch_mean
-0.009763459981777058,0.49085534866202174,0.03441049717751197,9.749904268998476e-06,0.0009756143552256877
-0.009570349650717878,0.4914648376676423,0.034616317711487404,3.8972043089097976e-05,0.0019511212454364608
-0.009374942481682037,0.4921583103615534,0.03481774657548018,8.76253630077591e-05,0.002926520693466352
-0.009177285371452166,0.4929347481301235,0.03501904444983732,0.00015566889233365304,0.003901812346315559
-0.008977425756785954,0.49379301617379406,0.035227577033425286,0.00024306172888049007,0.00487699554781164
-0.008775411603031455,0.4947318670197619,0.035437611301106973,0.0003497630414061545,0.005852070647067231
-0.008571291392615973,0.49574994432636793,0.03565228723453547,0.0004757321239723514,0.006827039227244669
-0.008365114113410146,0.4968457869521442,0.035871780949374744,0.0006209282909268527,0.007801895966475499
-0.008156929246971307,0.498017833261347,0.035983109097597304,0.0007853110066398594,0.008776665899820036
-0.007946786756667998,0.49926442563701146,0.03620741816985075,0.000968840595267154,0.009751360732227267
-0.007734737075689288,0.5005838151721188,0.036438409532726146,0.0011714767153347102,0.010725935987142134
-0.007520831094940653,0.5019741665093559,0.03663992925756045,0.001393178615735785,0.011700368692110826
-0.007305120150830721,0.5034335628001507,0.03684399186258028,0.0016339054036162686,0.012674671552241949
-0.007087656012950597,0.5049600107541709,0.03696820606733793,0.0018936166065056615,0.013648865855688062
-0.006868490871649515,0.5065514457512469,0.037208069011287315,0.002172272456710975,0.014622960750802612
-0.006647677325509359,0.5082057369886878,0.037415395723300215,0.0024698327029321764,0.015596931235343142
-0.006425268368721284,0.5099206926382034,0.03766656847836394,0.002786257097797976,0.016570770696339582
-0.006201317378367213,0.5116940649880518,0.03787331449808434,0.003121505145519323,0.01754446215745632
-0.0059758781016099214,0.5135235555475876,0.03808521788082961,0.003475536209913189,0.018518003569018476
-0.005749004642793668,0.515406820093089,0.03834441005117434,0.0038483098778500854,0.01949140245558448
-0.005520751450459487,0.5173414736354903,0.05375195777895467,0.004239760950410134,0.02045970698763497
-0.005291173304277931,0.5193250952924897,0.06967781764660035,0.004649652163754639,0.021415620932986098
-0.0050603253019020225,0.521355233049354,0.07010775104352499,0.00507772590801328,0.022364134382710003
-0.004828262845744248,0.5234294083946018,0.0854283879244234,0.0055238692706732475,0.023307653068184622
-0.004595041629680113,0.5255451208185916,0.0859640028503092,0.005987875804249041,0.02424380790065812
-0.004360717625682007,0.5276998521648417,0.101171789841557,0.006469632888900485,0.025174978665411133
-0.0041253470703860404,0.5298910708256535,0.10180562649592853,0.006968936318317068,0.02609885106594644
-0.0038889864515956937,0.5321162357752672,0.10245443641903111,0.007485697258089499,0.02702233665163271
-0.0036516924947248676,0.5343728004353795,0.11750752935682766,0.008019850188470026,0.027940877352869056
-0.0034135221491842205,0.5366582163693209,0.11823966949849815,0.008571193481942456,0.028852177782545885
-0.00317453257471335,0.538969936802582,0.11897675206432583,0.009139638412255157,0.029763021238096345
-0.0029347811276629527,0.5413054199686443,0.1197211746391592,0.00972514174370388,0.030673414919775776
-0.0026943253472294874,0.5436621322802425,0.12040631556229404,0.010327660443824804,0.03158336690725225
-0.0024532229416460057,0.5460375513272188,0.12115188833535719,0.010947151872921453,0.03249287982737499
-0.0022115317743325352,0.5484291687030798,0.12190178506714151,0.011583573089573852,0.0334019405114594
-0.0019693098500090257,0.5508344926631775,0.12265756869819663,0.012236881260789317,0.034310549235003436
-0.0017266153007746412,0.5532510506181805,0.12341357873596985,0.012907033577637717,0.03521869704403686
-0.0014835063721561977,0.5556763914670861,0.13843110917437243,0.013593964586416752,0.036121914638239515
-0.001240041409129589,0.5581080877745754,0.1392891335415729,0.014297475950855405,0.037017983866370965
-0.0009962788421172832,0.5605437377979291,0.14014688974786574,0.01501747995357967,0.03791353649486915
-0.0007522771729652358,0.5629809673690568,0.141015967593782,0.015753933632163403,0.03880859589471982
-0.0005080949609028207,0.5654174316374904,0.14187860793544801,0.01650679410469225,0.039703144974340965
-0.0002637908084887673,0.5678508166803521,0.1566902286393507,0.01727599641550601,0.04059282184054124
-1.9423347546990987e-05,0.5702788409854606,0.17128265561100242,0.01806132490344468,0.041471325125137924
0.0002249487749049312,0.5726992568138012,0.17229459393972438,0.018862548859545965,0.04234307787895578
0.00046926691073061953,0.5751098514476143,0.1733258636307147,0.01967958393050843,0.043214253885385225
0.0007134724247502517,0.5775084483303122,0.17435920909413757,0.02051238659136537,0.04408482117500372
0.0009575067088127242,0.5798929081043961,0.17540073304842857,0.02136091328117847,0.04495479141850713
0.0012013111958612396,0.582261129553409,0.17643941896654547,0.022225120555822157,0.045824148018875036
0.0014448273739892047,0.5846110504538641,0.17749140653236994,0.02310496456777028,0.04669287173534149
0.0016879968004828406,0.58694064834292,0.1783779773264171,0.024000402039034925,0.047561070555837755
0.0019307611158470106,0.5892479412073766,0.17941761134329443,0.024911392801599958,0.04842880391675441
0.0021730620578113637,0.5915309880994262,0.18047353516778206,0.025837894894209793,0.04929594696285366
0.0024148414753128998,0.5937878896843342,0.18153624976191846,0.02677986530333239,0.05016249358831666
0.002656041342452039,0.5960167887250514,0.18260932197656676,0.027737261505342895,0.051028448168603975
0.0028966037724184207,0.5982158705085188,0.18369046886650217,0.028710040047687974,0.051893742886551034
0.0031364710313836488,0.6003833632182164,0.18477836921116364,0.029698157077445487,0.05275839191457351
0.0033755855523569583,0.6025175382572702,0.1858612546355368,0.030701569262081056,0.05362240918668989
0.0036138899490011163,0.6046167105262125,0.18694900681127546,0.03172023321807763,0.05448577798508576
0.0038513270294048426,0.6066792386592808,0.18805818587230794,0.03275410564185231,0.05534851009392455
0.0040878398098085494,0.6087035252228915,0.18916276404846,0.03380314338630225,0.05621059965801917
0.004323371528280279,0.6106880168797455,0.19027486577448657,0.03486730332907171,0.05707205299376888
0.004557865658338204,0.6126312045217921,0.19142021812893767,0.03594654246098481,0.057932854681336035
0.004791265922516723,0.614531623375081,0.19237847363603897,0.03704081783835471,0.05879306652594375
0.005023516305872768,0.6163878530793343,0.19353776936639003,0.038150088940866446,0.05965274849946836
0.005254561069429203,0.6181985177448969,0.19467623450778035,0.03927431365810789,0.06051177308178436
0.005484344763551828,0.6199622859895269,0.20923960305650624,0.040413428349185536,0.06136604257326441
0.005712812241257084,0.6216778709573155,0.21047041601394845,0.04156724700325092,0.06221348728884198
0.005939908671446976,0.6233440303218944,0.21169202475251012,0.04273568487997799,0.0630601975878492
0.006165579552068388,0.6249595662758759,0.21290365811851472,0.04391869846752328,0.06390620337778143
0.006389770723193224,0.6265233255083937,0.2141597571249673,0.04511624448692607,0.06475149910509258
0.006612428380016564,0.6280341991724068,0.2153827924313299,0.04632827983375442,0.06559609791466375
0.006833499085769609,0.6294911228433493,0.21665383210257447,0.04755476164675912,0.0664399941627785
0.007052929784544098,0.6308930764705655,0.21788738687758494,0.04879564698241978,0.06728318522190935
0.007270667814025688,0.6322390843228349,0.21918029435461703,0.05005089275763777,0.06812564922435196
0.007486660918132485,0.633528214929237,0.22043397387152686,0.051320455993980246,0.06896741521056857
0.007700857259556283,0.6347595810164378,0.22173881802912745,0.052604293805781105,0.06980844670176241
0.007913205432203361,0.6359323394434432,0.22305246532084264,0.05390236311884106,0.07064874950666607
0.008123654473531569,0.6370456911347451,0.22431618935928493,0.05521462081853702,0.07148832801660862
0.008332153876781172,0.6380988810126944,0.22543062455246157,0.05654102463734881,0.07232726076131706
0.008538653603096254,0.6390911979299141,0.22675630384664358,0.057881534484911734,0.07316558735324759
0.008743104093533708,0.6400219746024098,0.22805443854212898,0.05923610885865866,0.07400322455409669
0.008945456280957305,0.6408905875440501,0.22936309854688072,0.06060470532607043,0.07484010538876135
0.0091456616018133,0.6416964570029738,0.2306508585418926,0.06198728096183857,0.07567625884009008
0.00934367200778576,0.6424390469004538,0.24520945542270303,0.06338377355704597,0.07650778789775592
0.009539439977327728,0.6431178647726757,0.24658223237328727,0.06479400590009932,0.0773328431903365
0.009732918527066266,0.6437324617158465,0.24800402151365908,0.06621789828868,0.07815719056201331
0.009924061223078125,0.6442824323350241,0.26202989339045274,0.06765538973511509,0.07897703969121724
0.010112822192033818,0.644767414696962,0.27575333723215845,0.06910629094835297,0.07978714057228169
0.010299156132206866,0.6451870902872914,0.27722420894648,0.07057040314581763,0.08059135653235905
0.010483018324346094,0.6455411839722707,0.2787596299881388,0.07204765099831964,0.08139482566245855
0.010664364642407935,0.6458294639653276,0.2802992325133466,0.07353799228544373,0.08219745643508437
0.01084315156414655,0.6460517417985692,0.28184641048039044,0.07504138430595907,0.08299927601582052
0.011019336181558956,0.6462078722994259,0.28339870434374614,0.07655778477314085,0.08380028046109646
0.011192876211182682,0.6462977535725305,0.2849459420235415,0.07808715149549185,0.08460048556170024
0.011363730004243636,0.6463213269869426,0.28643726518121543,0.07962944309149443,0.08539994688595968
0.011531856556651635,0.6462785771687714,0.2879328633364283,0.08118461937228547,0.08619869413063402
0.011697215518841132,0.6461695319992435,0.28943935508561147,0.08275264002274527,0.08699669991866386
0.011859767205454955,0.6459942626182049,0.29100623897148414,0.08433346424174555,0.087793934903019
0.012019472604868596,0.6457528834330748,0.29252338820164275,0.08592705129564782,0.08859042738508219
0.012176293388552807,0.6454455521331672,0.2941158266407056,0.08753336078047763,0.0893861601069373
0.012330191920272297,0.6450724697093387,0.2957160405341482,0.08915235211183142,0.09018114700411711
0.01248113126511818,0.6446338804788428,0.2973254826857671,0.09078398479243693,0.09097534981249034
0.012629075198372237,0.6441300721152735,0.2988608462324102,0.09242821781716502,0.09176877308145652
0.012773988214200617,0.6435613756834281,0.3004220755340031,0.09408501015724884,0.09256137389638694
0.012915835534175147,0.6429281656789013,0.30205897928649544,0.09575432019126359,0.09335315633595448
0.013054583115619967,0.6422308600721903,0.3037014479148076,0.097436107166472,0.09414417953580562
0.013190197659781527,0.6414699203570341,0.30535249306934514,0.09913033042416634,0.09493438847222087
0.013322646619820149,0.6406458516027006,0.31811380107493437,0.10083693307975393,0.09572062036808159
0.013451898208621289,0.6397592025098822,0.31972027213644144,0.10255576422465001,0.09650137776917372
0.013577921406424021,0.6388105654697993,0.3214244858748767,0.10428675340300589,0.09728138881675538
0.013700685968265808,0.6378005766261029,0.3231337141140059,0.10602986084656617,0.09806061267281858
0.01382016243124113,0.6367299159390759,0.32474321814143287,0.10778504692225682,0.09883909282868766
0.013936322121572347,0.6355993072516152,0.3263707921545879,0.10955227285782733,0.09961683385155254
0.0140491371614914,0.6344095183563834,0.3382814864643967,0.11133148425147524,0.10039081054326086
0.014158580475930205,0.6331613610634927,0.34995889019701504,0.11312252482526836,0.10115691209893435
0.01426462579901871,0.6318556912679817,0.351633067151443,0.11492523306712936,0.10191830847027519
0.014367247680388348,0.630493409016305,0.36211136583486203,0.11673953188067537,0.1026763464884062
0.014466421491280204,0.6290754585709374,0.3638420239489487,0.11856529216137227,0.10342977250344373
0.014562123430455738,0.6276028284721675,0.3655446689804344,0.12040245087058547,0.10418249211710949
0.014654330529908973,0.6260765515960038,0.37540735232948674,0.12225095898727985,0.10493203728454971
0.014743020660378574,0.6244977052070702,0.3771992242414989,0.12411069348412568,0.10567718963994
0.014828172536659015,0.6228674110052228,0.3789799554503303,0.12598159377846055,0.10642168230894733
0.014909765722708695,0.6211868351645593,0.38077362229675693,0.12786362434345017,0.10716550386612972
0.014987780636554666,0.619457188363307,0.38255955663958435,0.1297567492902039,0.10790864063868306
0.015062198554992074,0.6176797258030404,0.38436839664296674,0.13166093292683462,0.10865110107921536
0.015133001618077704,0.6158557472154357,0.3861412684134888,0.13357613948495192,0.10939287404370981
0.01520017283341632,0.6139865968547451,0.38791514185592274,0.1355023332737595,0.11013395726646752
0.015263696080238632,0.6120736634739274,0.3898356484333469,0.1374394782944479,0.11087431398297369
0.015323556113270314,0.610118380282273,0.3916243096710026,0.13938753762338743,0.11161392956620435
0.015379738566390848,0.6081222248821808,0.40052133013145313,0.14134646404005805,0.11235061602136538
0.015432229956081147,0.6060867191825465,0.4023254911227923,0.143316144363147,0.11308327711070774
0.015481017684659626,0.6040134292860871,0.4041395289003229,0.14529652099150822,0.1138152682549753
0.015526090043305619,0.6019039653476946,0.40595045596831086,0.14728755971997773,0.11454663135871221
0.015567436214869465,0.5997599814007312,0.40776570112587696,0.14928922681336387,0.11527736799331732
0.015605046276468375,0.5975831751479804,0.4095877135057423,0.15130148829749732,0.11600746738486661
0.015638911201868187,0.5953752877137494,0.4114153556185911,0.15332431014374232,0.11673689878005436
0.015669022863649292,0.5931381033533997,0.41324745790912626,0.15535765748533112,0.11746564310941526
0.015695374035157427,0.5908734491163761,0.41506837897574117,0.15740149622420394,0.1181937645425777
0.015717958392237916,0.58858319445857,0.41689708941613607,0.15945579315872646,0.11892127422493674
0.015736770514753497,0.5862692507996331,0.41872952276622555,0.16152051510107474,0.11964815686991798
0.015751805887885044,0.5839335710206224,0.42685504126791035,0.1635956184926577,0.12037244933462478
0.01576306090321521,0.5815781488971665,0.4349513132944709,0.1656809936770674,0.12109146102326343
0.015770532859594316,0.5792050184630754,0.4425120923670323,0.167776517630968,0.12180542952306554
0.015774219963788687,0.5768162532991579,0.4443882970144102,0.16988207968208643,0.12251627299865116
0.015774121330911047,0.5744139657417705,0.44626326686377055,0.17199763289523387,0.12322665042106426
0.015770236984632827,0.572000306005458,0.4481419979489425,0.1741231472244713,0.12393648053620718
0.015762567857178406,0.5695774612138635,0.4500188185143389,0.17625859151458556,0.12464573948112254
0.015751115789101655,0.5671476543329534,0.4518523610848351,0.17840393466337687,0.1253544522362225
0.01573588352884385,0.5647131430004505,0.4537261386425794,0.1805591466086385,0.1260626858867057
0.01571687473207444,0.5622762182453199,0.455809932510403,0.18272419821518088,0.12677042970696373
0.015694093960813348,0.559839203091057,0.45765148572553577,0.18489905952889227,0.12747765719264156
0.01566754668233632,0.5574044510365344,0.4595270114559752,0.1870837010853773,0.12818441030062913
0.015637239267862778,0.554974344408203,0.46123759045650975,0.18927809453516034,0.1288907654096406
0.015603178991026688,0.5525512925775053,0.4629191341385418,0.19148221299247328,0.12959676293675107
0.015565374026131031,0.5501377300375389,0.4693853402530249,0.19369602219424192,0.1303009034005504
0.015523833446185884,0.5477361143332046,0.4712869137340381,0.19591944404077952,0.13100246393049472
0.015478567220731005,0.5453489238393592,0.47780663658859873,0.1981524298055058,0.13170230010324885
0.015429586213443333,0.5429786553818761,0.4796537262800633,0.20039490713460545,0.13239978994516577
0.015376902179529377,0.5406278216969663,0.48130451825544524,0.2026468356613313,0.1330968958998133
0.015320527762904393,0.5382989487246509,0.48692052134202624,0.20490818406532124,0.1337925163468468
0.015260476493157855,0.5359945727329454,0.49260439839484405,0.20717888141792257,0.1344850734962878
0.01519676278230615,0.533717237270037,0.4947694846646569,0.20945885582037363,0.13517578538960895
0.015129401921334088,0.5314694899426272,0.49693345811432654,0.2117480721358605,0.13586618971437203
0.015058410076524973,0.5292538790195461,0.49877655450705444,0.21404650596160213,0.13655628575467565
0.014983804285580762,0.5270729498608567,0.5009393782634836,0.216354132084671,0.13724606200039302
0.01490560245353317,0.5249292411738345,0.5031004766831453,0.21867092798898247,0.1379356881385694
0.01482382334844648,0.5228252810985403,0.5052580539452804,0.22099687086714714,0.1386250261746483
0.014738486596913366,0.5207635831270764,0.5074163531014915,0.22333193691416436,0.13931412131353474
