step,residue_coherence,orientation_alignment,corridor_count
0,0.000113266,0.00263424,0
100,0.0111067,0.00265373,0
200,0.0268787,0.00225439,0
300,0.0581096,0.00185964,0
400,0.128256,0.00194039,0
500,0.297553,0.000808694,493
600,0.271458,0.000808125,1526
700,0.247362,0.00211886,3072
800,0.253661,0.00483984,6229
900,0.270441,0.00529701,11743
1000,0.31947,0.00453995,19166
1100,0.37256,0.00128204,27727
1200,0.601153,0.00409784,32724
1300,1.3917,0.00255131,32724
1400,3.24501,0.000996642,32724
1500,7.56781,0.000690178,32724
1600,17.6444,0.000453398,32724
1700,41.128,0.000341468,32724
1800,95.8434,0.000265754,32724
1900,223.3,0.000226465,32724
1999,516.147,0.001177,32812
