n_agents,order_parameter_mean,order_parameter_std,residue_mean,local_coherence_mean,mismatch_mean
1,1.0,6.821785411989623e-17,23.509237487865427,1.0,0.49934426088389133
2,0.8129878299191954,1.0705156123617667e-05,32.894118021914466,0.6609492117101655,0.7474924836594572
3,0.993930092086007,6.280393708506306e-13,23.856524847727005,0.9878970279540982,0.5054552020093306
4,0.800288306689061,0.00019702712802725536,34.53509745311442,0.6404614122508157,0.7820749097132798
5,0.9771554717295965,2.5204695606717627e-10,25.71747559417351,0.9548328159310902,0.5237529846896288
6,0.6387472586110977,0.21157888416801013,42.81931374119831,0.5488357074866539,1.0362982177653484
7,0.9481331022325321,8.050183350075158e-09,25.741825326454045,0.9064529823309472,0.5519509315527601
8,0.9133578230043617,6.428150227775983e-06,27.515611673980963,0.8453695763210372,0.5948995907176505
9,0.6038938424387984,0.1451204277807622,43.59342759650927,0.4780079383253508,1.1054194787749025
10,0.7907195122205009,0.008930035905462963,40.74663850571597,0.6253162870369817,0.87556611979952
11,0.8984376715463936,0.00034836508568834076,33.186862054200994,0.8135995296092291,0.6490137959319705
12,0.4058561929992265,0.1563457597918391,64.50023991413353,0.24638664574777688,1.8667741242868505
13,0.7823397111352485,0.053137082953794636,40.21130059720409,0.6538838891630085,0.8524377604469014
14,0.5499347633829466,0.16999802397236835,51.1429344748044,0.34945717505635376,1.5095351998211801
15,0.7072087163408175,0.07999074522316194,49.322706401054155,0.521898662367495,1.2809503349625637
16,0.944660759602457,6.251307782977815e-09,26.459520446383603,0.8945689713915128,0.5605926946208767
17,0.9104917995827955,3.833617533127591e-05,29.427342890531005,0.8307049553939259,0.6299441655511061
18,0.5723277562719845,0.09375470749522079,69.74717557617312,0.3963087497684886,1.6739150599649717
19,0.8454193340205242,0.03138449550032422,37.709063953688236,0.7225125163535432,0.9076487344310965
20,0.623726568138041,0.09007541773136046,45.195629800596265,0.4541080038754171,1.2368132193214136
21,0.7787836427053961,0.04985961064125524,46.25965901681478,0.6731088828149816,1.0879410793178583
22,0.8758114777039374,1.6129798390189224e-05,31.367353148671597,0.7757499293572205,0.6855768944237395
23,0.8575591945266018,0.03175894169481144,48.49683256857937,0.751420463413425,0.8367369528907461
24,0.9017924351622733,0.029762607295402643,29.709812911112603,0.832683113982429,0.6753623572652465
25,0.7973940217239841,0.032937004935092246,39.87744777042915,0.6384201789521978,0.9319894069388724
26,0.5940997561472069,0.09043703415420609,53.71446425040872,0.39301133131291577,1.463252987179012
27,0.7055953477263595,0.06680004938395659,47.05786948751141,0.5196684539009848,1.2073776506629976
28,0.8872257503535919,0.0014600877163277604,34.375537601462696,0.7839455201852891,0.681909975570015
29,0.736729043510443,0.063594761707075,45.42984178401677,0.5451186335738111,1.1831867861389125
30,0.7191760242294262,0.06204061346354499,46.89413887272095,0.5487238749951154,1.1783442670266235
31,0.7228947912970272,0.06101376973312227,46.35738252705906,0.5755817720344184,1.102662638240772
32,0.761450974405444,0.02906729186173227,46.82354276593327,0.5952411138899641,1.058929506780577
33,0.9408470804192548,2.897348013356075e-06,30.82626357947435,0.8863774986738543,0.5730873461133016
34,0.7949353597270091,0.018177852534965663,42.71711190071934,0.6330203484197513,1.0013091094757176
35,0.6730271016867263,0.04261930464632156,51.36361978925621,0.4857172457655468,1.3043769795640228
36,0.754020163888223,0.038638161727721936,45.705178458459315,0.5793935315473818,1.105891882774847
37,0.807730204784754,0.03999394024852173,42.608353505957005,0.6870377671849375,0.9985961127232613
38,0.7087492313729079,0.04977106268797881,48.370992215324684,0.518105041381627,1.257424090492903
39,0.9041727624840978,0.0019893903254661837,31.38103232316786,0.8248242898956442,0.6383974841737838
40,0.8946464097569043,0.017912641376497233,32.33299432794372,0.8096827582695274,0.6954454511977585
41,0.8386696344388228,0.03280008199836554,36.94872829033252,0.7073600668300357,0.8852903305747759
42,0.4155039442046124,0.10417743261320278,80.14125339059544,0.2067122397815824,2.30584372461305
43,0.8788783172062722,0.026215806978043318,31.96486166567919,0.7953616142896934,0.7464601568019318
44,0.6796356948234613,0.06029806821437027,54.13840553700958,0.47577772530993107,1.4293931744714787
45,0.8305729827516473,0.01795055758003668,38.54647152565808,0.6919211559408093,0.8509770389382032
46,0.8407652163173196,0.0001649351310487916,35.136706836450934,0.7081870281894875,0.7439717252426113
47,0.7801465588314833,0.031112863741562254,41.42535585180596,0.640184413724229,0.9739171929855264
48,0.7046926889121994,0.06807018478346914,51.17248006612922,0.504458382935723,1.2758136298909657
49,0.9179354429453311,0.00045684997861332276,29.083813095491188,0.8469874009237048,0.6124523734778823
50,0.8845415445467545,0.0015529241527482388,35.301629943795284,0.7845186372632267,0.6799567472968492
