trial_id,residue_growth,diffusion_rate,metric_active_fraction,metric_mean_mismatch,metric_max_mismatch,metric_mean_residue,metric_step
0,0.2008078239825224,0.16954521760945418,0.0,0.006926500480094869,0.7157156664195817,0.009881773617969724,990
1,0.16043401580954553,0.06866180286486291,0.0008,0.007333097925412497,0.9597399268829473,0.009532747519417245,990
2,0.07801135168365114,0.016553369374387464,0.0024,0.007619925065353223,0.9999387650033034,0.008494411210572025,990
3,0.3895922624044197,0.06644530766746923,0.0,0.007674696236828829,0.9992187655294591,0.01241606779758863,990
4,0.32412399180480367,0.11062602127320982,0.0008,0.007404262969060955,0.9527804537472747,0.012326476623279164,990
5,0.01511635697403707,0.136832401532171,0.0017,0.0058521887466721975,0.3251280465136284,0.004149875298709172,990
6,0.34598303995626867,0.18198844989380075,0.0,0.007185894969809146,0.821399588845073,0.012705634918757428,990
7,0.21136758903801256,0.1474387410287365,0.0008,0.00706853480040304,0.7898217555645665,0.011523993280062358,990
8,0.15414266860212378,0.11494214816612974,0.0,0.007009797144412292,0.8269676265959388,0.00927005836191871,990
9,0.14043591494362345,0.18272540563885878,0.0,0.006719782840909076,0.6182926547634296,0.009015038625864889,990
10,0.4239400912225019,0.028066323559652814,0.0008,0.00785452903888019,0.9999973989979412,0.012307078150035509,990
11,0.06155452351344981,0.036228813386639566,0.0004,0.007169061549723897,0.9493164905562352,0.007586820553558908,990
12,0.22803821497459975,0.07558870169712341,0.0012,0.007444969047898239,0.9768593202379918,0.010444671660043639,990
13,0.21966882431631396,0.0695075598291989,0.0,0.007463193149367716,0.9880230345692952,0.010500739616272016,990
14,0.25698081224438385,0.19214415036390636,0.0004,0.006994779172298819,0.7420939866199491,0.012046633429248605,990
15,0.3223928701449455,0.16071383495764874,0.0,0.007221846734919365,0.8421413703566188,0.012885245723866165,990
16,0.43230474897754784,0.14277485022458142,0.0004,0.007399020086217445,0.9242001567878498,0.01390668175803106,990
17,0.1723398996187822,0.03161959685654243,0.0,0.007662556892272957,0.9999906447329618,0.009307220278077436,990
18,0.15999393975044823,0.18867157745310958,0.0,0.006769186401406871,0.623950962941165,0.00951801459073675,990
19,0.4800938544094647,0.18349802511598698,0.0,0.0073031325789645295,0.8531592664983345,0.01583431170832618,990
