step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00164167,0.00732263,1708,0.00163849,0.03575,0.00220279,0.104248
100,0.393329,0.00349338,10464,0.114257,1.00426,0.00296486,0.638672
200,1.51856,0.010486,12281,0.203075,1.10445,0.00424766,0.749573
300,3.07834,0.00260675,12788,0.25423,1.20731,0.00591185,0.780518
400,4.71214,0.01599,13045,0.29203,1.40057,0.0072137,0.796204
500,6.13073,0.00831506,13241,0.309184,1.25467,0.00779363,0.808167
600,7.05449,0.0160807,13359,0.320307,1.23195,0.00890911,0.815369
700,7.783,0.0116317,13426,0.331204,1.4282,0.0103987,0.819458
800,8.50384,0.0090124,13456,0.343267,1.32147,0.0113306,0.821289
900,9.23613,0.00591296,13539,0.350001,1.32395,0.0123219,0.826355
999,9.66681,0.010619,13568,0.355962,1.46961,0.0136233,0.828125
