step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
53,2.6500000000000004,0.11734163397581115,208,8.32,87,1,0.011494252873563218,0,0.0,0,0.0,0.0
54,2.7,0.11855878543494118,211,8.44,86,3,0.03488372093023256,0,0.0,0,0.0,0.0
55,2.75,0.11977104904733829,214,8.56,84,3,0.03571428571428571,0,0.0,0,0.0,0.0
56,2.8000000000000003,0.12099041589371556,218,8.72,82,4,0.04878048780487805,0,0.0,0,0.0,0.0
57,2.85,0.12221847425628973,219,8.76,82,1,0.012195121951219513,0,0.0,0,0.0,0.0
58,2.9000000000000004,0.12345470483460039,221,8.84,82,3,0.036585365853658534,0,0.0,0,0.0,0.0
59,2.95,0.12464178163310023,226,9.04,81,5,0.06172839506172839,0,0.0,0,0.0,0.0
60,3.0,0.12584580793679803,227,9.08,78,1,0.01282051282051282,0,0.0,0,0.0,0.0
61,3.0500000000000003,0.12705928874565628,232,9.28,78,5,0.0641025641025641,0,0.0,0,0.0,0.0
62,3.1,0.12828821507975746,230,9.2,74,0,0.0,0,0.0,0,0.0,0.0
63,3.1500000000000004,0.12951987838006132,233,9.32,77,3,0.03896103896103896,0,0.0,0,0.0,0.0
64,3.2,0.13076475215095318,237,9.48,73,4,0.0547945205479452,0,0.0,0,0.0,0.0
65,3.25,0.13201942800806193,237,9.48,67,0,0.0,0,0.0,0,0.0,0.0
66,3.3000000000000003,0.1332843933359028,238,9.52,74,1,0.013513513513513514,0,0.0,0,0.0,0.0
67,3.35,0.1345585285399778,238,9.52,74,1,0.013513513513513514,0,0.0,0,0.0,0.0
68,3.4000000000000004,0.13580095963527558,239,9.56,76,2,0.02631578947368421,0,0.0,0,0.0,0.0
69,3.45,0.13700250270568767,243,9.72,76,4,0.05263157894736842,0,0.0,0,0.0,0.0
70,3.5,0.13821412385457665,244,9.76,75,2,0.02666666666666667,0,0.0,0,0.0,0.0
71,3.5500000000000003,0.13942082006653372,245,9.8,76,2,0.02631578947368421,0,0.0,0,0.0,0.0
72,3.6,0.140621396357291,245,9.8,76,1,0.013157894736842105,0,0.0,0,0.0,0.0
73,3.6500000000000004,0.14181483051552413,245,9.8,77,2,0.025974025974025976,0,0.0,0,0.0,0.0
74,3.7,0.14300225258863516,247,9.88,77,2,0.025974025974025976,0,0.0,0,0.0,0.0
75,3.75,0.14420162477844678,249,9.96,77,2,0.025974025974025976,0,0.0,0,0.0,0.0
76,3.8000000000000003,0.14540493390061549,250,10.0,77,2,0.025974025974025976,0,0.0,0,0.0,0.0
77,3.85,0.1466386414433567,250,10.0,75,2,0.02666666666666667,0,0.0,0,0.0,0.0
78,3.9000000000000004,0.14790288455846354,252,10.08,74,2,0.02702702702702703,0,0.0,0,0.0,0.0
79,3.95,0.14917834390598828,253,10.12,75,1,0.013333333333333334,0,0.0,0,0.0,0.0
80,4.0,0.15046850242104745,257,10.28,75,4,0.05333333333333334,0,0.0,0,0.0,0.0
81,4.05,0.15178271822813577,260,10.4,72,3,0.041666666666666664,0,0.0,0,0.0,0.0
82,4.1000000000000005,0.15309983758977833,260,10.4,69,0,0.0,0,0.0,0,0.0,0.0
83,4.15,0.15443388395125057,261,10.44,72,2,0.027777777777777776,0,0.0,0,0.0,0.0
84,4.2,0.15577182651724666,261,10.44,75,0,0.0,0,0.0,0,0.0,0.0
85,4.25,0.15712826946412717,260,10.4,75,0,0.0,0,0.0,0,0.0,0.0
86,4.3,0.15851619398342948,262,10.48,75,2,0.02666666666666667,0,0.0,0,0.0,0.0
87,4.3500000000000005,0.15992641709184185,261,10.44,77,0,0.0,0,0.0,0,0.0,0.0
88,4.4,0.1613007425932638,262,10.48,78,1,0.01282051282051282,0,0.0,0,0.0,0.0
89,4.45,0.1626950634819785,263,10.52,78,2,0.02564102564102564,0,0.0,0,0.0,0.0
90,4.5,0.1641094790650475,264,10.56,77,1,0.012987012987012988,0,0.0,0,0.0,0.0
91,4.55,0.16554480930566734,266,10.64,77,2,0.025974025974025976,0,0.0,0,0.0,0.0
92,4.6000000000000005,0.1670050513849068,268,10.72,76,4,0.05263157894736842,0,0.0,0,0.0,0.0
93,4.65,0.16845871362022408,269,10.76,74,1,0.013513513513513514,0,0.0,0,0.0,0.0
94,4.7,0.1699340705152215,270,10.8,74,1,0.013513513513513514,0,0.0,0,0.0,0.0
95,4.75,0.17143282403861573,271,10.84,73,1,0.0136986301369863,0,0.0,0,0.0,0.0
96,4.800000000000001,0.1729565830223611,272,10.88,74,1,0.013513513513513514,0,0.0,0,0.0,0.0
