avg_degree,edge_count,order_parameter,step,time
5.52,138,0.13708688178897904,0,0.0
6.28,157,0.13389705070068997,10,0.5
6.76,169,0.13174040193533937,20,1.0
7.24,181,0.13006691379429083,30,1.5
7.56,189,0.12995304647654865,40,2.0
8.28,207,0.1329211780464887,50,2.5
8.6,215,0.1390268395866423,60,3.0
8.64,216,0.1491208470181428,70,3.5
8.96,224,0.16304226607117045,80,4.0
9.0,225,0.1789676027326161,90,4.5
9.28,232,0.1959273580155799,100,5.0
9.64,241,0.21323903390215068,110,5.5
10.08,252,0.23202970689681024,120,6.0
10.08,252,0.2511691998482985,130,6.5
10.32,258,0.27101430678382343,140,7.0
10.72,268,0.2920266871288458,150,7.5
10.64,266,0.31470825479736847,160,8.0
10.64,266,0.3373412534490441,170,8.5
10.88,272,0.3594854124778268,180,9.0
10.8,270,0.3845249908016778,190,9.5
10.8,270,0.4099951000345612,200,10.0
10.8,270,0.43606377411063213,210,10.5
10.84,271,0.46063707056722575,220,11.0
10.96,274,0.48228022968697015,230,11.5
10.84,271,0.5025412116216246,240,12.0
11.04,276,0.519739403563737,250,12.5
10.92,273,0.5352238655938296,260,13.0
10.76,269,0.5489932435258372,270,13.5
11.16,279,0.5615326248209501,280,14.0
11.44,286,0.5729629775089058,290,14.5
11.76,294,0.5842478010058346,300,15.0
12.16,304,0.5936265962736982,310,15.5
12.72,318,0.6004401698701876,320,16.0
13.28,332,0.6057114866084534,330,16.5
13.96,349,0.6110847152515797,340,17.0
14.56,364,0.6159574578037167,350,17.5
15.16,379,0.6208651526862988,360,18.0
15.48,387,0.6258184835486119,370,18.5
16.24,406,0.6313422548859318,380,19.0
16.8,420,0.6379379296749402,390,19.5
16.92,423,0.645997184917858,400,20.0
17.32,433,0.6559365177997688,410,20.5
17.52,438,0.6673717469873948,420,21.0
17.68,442,0.6760136657701934,430,21.5
17.96,449,0.6826942982671451,440,22.0
18.24,456,0.68947196887178,450,22.5
18.6,465,0.6967309456995406,460,23.0
18.76,469,0.7055846538360095,470,23.5
18.84,471,0.7153408674306589,480,24.0
18.84,471,0.7256205529579022,490,24.5
18.96,474,0.7327350470732775,500,25.0
19.0,475,0.7379215170078701,510,25.5
19.2,480,0.7425387235295364,520,26.0
19.44,486,0.7466196989564265,530,26.5
19.72,493,0.7506150815054659,540,27.0
19.8,495,0.7545692188341611,550,27.5
20.0,500,0.7584842609194717,560,28.0
20.0,500,0.7623621211935485,570,28.5
20.0,500,0.7661983312844806,580,29.0
20.12,503,0.7700006161378797,590,29.5
20.12,503,0.7737689865069163,600,30.0
20.16,504,0.7775007974800912,610,30.5
20.2,505,0.7812017088394563,620,31.0
20.28,507,0.7848794509500467,630,31.5
20.32,508,0.788522601058648,640,32.0
20.32,508,0.7921307871104407,650,32.5
20.36,509,0.7957029990707648,660,33.0
20.36,509,0.7992396000334148,670,33.5
20.4,510,0.8027437225326235,680,34.0
20.4,510,0.8062151372037605,690,34.5
20.4,510,0.8096495801178154,700,35.0
20.4,510,0.8130473303133646,710,35.5
20.56,514,0.8164138533154415,720,36.0
20.6,515,0.8197655967771927,730,36.5
20.68,517,0.8230821426718591,740,37.0
20.72,518,0.8263655021616588,750,37.5
20.76,519,0.8296144334995459,760,38.0
20.84,521,0.8328220442190465,770,38.5
20.88,522,0.8359929728677109,780,39.0
21.04,526,0.8391320658059608,790,39.5
21.08,527,0.8422314386113706,800,40.0
21.08,527,0.8452884305360954,810,40.5
21.2,530,0.8483110885841177,820,41.0
21.2,530,0.851302570385828,830,41.5
21.24,531,0.8542588328525973,840,42.0
21.24,531,0.8571827128559247,850,42.5
21.28,532,0.8600732308994593,860,43.0
21.32,533,0.8629315673950875,870,43.5
21.36,534,0.8657644311374416,880,44.0
21.4,535,0.8685667734806002,890,44.5
21.4,535,0.8713356447253706,900,45.0
21.4,535,0.87407175016726,910,45.5
21.4,535,0.8767758890920623,920,46.0
21.4,535,0.8794485238200278,930,46.5
21.44,536,0.8820952807278445,940,47.0
21.44,536,0.8847174460408561,950,47.5
21.44,536,0.8873110783612039,960,48.0
21.48,537,0.8898846052353792,970,48.5
21.48,537,0.8924324082805554,980,49.0
21.48,537,0.894950674679749,990,49.5
