step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,5.98975e-06,0.00263424,0,0,0
100,0.000205075,0.00263536,65536,0,0
200,0.000242272,0.00263521,65536,0,0
300,0.000240604,0.00263474,65536,0,0
400,0.000231687,0.00263432,65536,0,0
500,0.000222262,0.00263389,65536,0,0
600,0.000213392,0.00263354,65536,0,0
700,0.000205074,0.00263322,65536,0,0
800,0.000197201,0.00263297,65536,0,0
900,0.000189703,0.00263277,65536,0,0
1000,0.00018254,0.00263259,65536,0,0
1100,0.000175685,0.00263243,65536,0,0
1200,0.000169123,0.00263232,65536,0,0
1300,0.000162832,0.00263219,65536,0,0
1400,0.000156802,0.00263208,65536,0,0
1500,0.000151019,0.00263201,65536,0,0
1600,0.000145471,0.00263196,65536,0,0
1700,0.000140146,0.00263189,65536,0,0
1800,0.000135035,0.00263182,65536,0,0
1900,0.000130124,0.00263178,65536,0,0
1999,0.000125433,0.00263106,65536,0,0
