step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00328353,0.00244746,6843,0.00164144,0.0356827,0.00977545,0.104416
100,1.09818,0.00155254,43240,0.120047,0.866542,0.0111497,0.65979
200,4.07399,0.00532054,50823,0.201907,0.938755,0.0124264,0.775497
300,7.69494,0.00504081,52141,0.247298,1.03275,0.0133702,0.795609
400,10.7143,0.000636392,52820,0.270369,1.04232,0.0143228,0.805969
500,13.1211,0.00454436,53368,0.28518,1.03338,0.0153552,0.814331
600,14.8981,0.00704682,53661,0.298542,1.04646,0.0165276,0.818802
700,16.0661,0.00360994,53787,0.306818,1.08618,0.0176396,0.820724
800,17.2199,0.00119187,54069,0.314293,1.11948,0.0184715,0.825027
900,18.3999,0.0081562,54442,0.320375,1.01625,0.0192572,0.830719
1000,19.537,0.00569333,54800,0.326026,1.10355,0.0202125,0.836182
1100,20.5266,0.00363009,55109,0.333088,1.06987,0.0210548,0.840897
1200,21.4941,0.00482467,55226,0.33663,1.10967,0.0217547,0.842682
1300,22.3499,0.00593154,55436,0.341105,1.13269,0.022672,0.845886
1400,23.0537,0.006951,55563,0.343764,1.13756,0.0236366,0.847824
1500,23.9195,0.00483932,55789,0.351372,1.08934,0.0244929,0.851273
1600,24.9909,0.00356193,55954,0.354706,1.09807,0.0252425,0.85379
1700,25.9673,0.00283308,56120,0.358636,1.07341,0.0259729,0.856323
1800,26.7159,0.00201489,56386,0.36063,1.10536,0.0268773,0.860382
1900,27.9978,0.00603173,56614,0.365631,1.04533,0.027736,0.863861
1999,29.1812,0.00866437,56805,0.370855,1.10122,0.0282808,0.866776
