step,residue_coherence,orientation_alignment,corridor_count
0,9.46708e-05,0.00129529,0
100,0.0103575,0.00129546,0
200,0.0252845,0.00129395,0
300,0.0548231,0.00128888,0
400,0.120826,0.00126837,0
500,0.28887,0.00116391,30
600,0.808156,0.000672152,49279
700,2.44496,0.000994668,65536
800,6.91048,0.00116345,65536
900,18.8325,0.000829521,65536
1000,50.9903,0.000143349,65536
1100,137.938,0.000199241,65536
1200,373.103,0.000258262,65536
1300,1009.18,0.000190114,65536
1400,2729.63,0.000185751,65536
1500,7383.19,0.000185745,65536
1600,19970,0.000185763,65536
1700,54015.2,0.000185767,65536
1800,146101,0.000185763,65536
1900,395175,0.00018576,65536
1999,1.0583e+06,0.000185751,65536
