step,residue_coherence,orientation_alignment,corridor_count
0,0.000103909,0,0
100,0.0103473,0.0010906,0
200,0.0252508,0.00109363,0
300,0.0547448,0.00110378,0
400,0.120645,0.00112821,0
500,0.288397,0.00116262,39
600,0.806646,0.00115152,49061
700,2.44017,0.00110446,65536
800,6.89766,0.00104838,65536
900,18.7983,0.00102172,65536
1000,50.8981,0.00101718,65536
1100,137.688,0.00101705,65536
1200,372.428,0.00101706,65536
1300,1007.36,0.00101706,65536
1400,2724.71,0.00101704,65536
1500,7369.8,0.00101704,65536
1600,19934,0.00101703,65536
1700,53917.8,0.00101703,65536
1800,145837,0.00101703,65536
1900,394464,0.00101703,65536
1999,1.05639e+06,0.00101702,65536
