active_area,total_signal,max_signal,step
12.993500000000001,3.25,0.25,0
13.398156606396304,35.306459863193474,2.7044961993269747,10
14.87590292338793,66.5704642654573,4.997020132985172,20
17.867789292064465,97.06160319458914,7.041515196062789,30
22.399411978907892,126.79898236180486,8.80336944891306,40
25.845710457012892,155.80123517335414,10.272061625481523,50
29.991930907217153,184.08653440619082,11.495220440795187,60
35.06549006288607,211.67260359501293,12.538447783809767,70
39.15005943547111,238.57672813780863,13.442451924745187,80
42.85078340660464,264.81576612686575,14.230823291662292,90
47.91640186502326,290.4061589120324,14.924629100405955,100
53.139310581365265,315.36394140284693,15.543164626139594,110
57.91638338600928,339.70475211599336,16.09992189428369,120
62.56476036454994,363.44384297437705,16.603657996073967,130
67.36088788805161,386.59608886396154,17.061198347306153,140
72.12458340272431,409.175996954354,17.478579219870277,150
76.82206067943054,431.19771578898064,17.861081841888264,160
82.02960451774949,452.6750441505471,18.21308371180601,170
87.64617769701914,473.62143970733916,18.538141430584965,180
92.91368501662889,494.05002744578167,18.839211480150365,190
