step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.0073464,0.00244746,28687,0.00367121,0.0356827,0.00977578,0.437729
100,3.41474,0.00392502,58673,0.0964242,0.485187,0.0113297,0.895279
200,10.2458,0.00873795,59777,0.123054,0.591978,0.0128892,0.912125
300,17.7701,0.00970496,60037,0.144927,0.637088,0.0141462,0.916092
400,24.5712,0.00993408,60152,0.161074,0.651406,0.0153428,0.917847
500,29.7101,0.0116032,60177,0.172575,0.653179,0.0164416,0.918228
600,33.7238,0.00934933,60172,0.180934,0.665368,0.0174558,0.918152
700,36.8148,0.00730797,60301,0.18764,0.74125,0.0184229,0.92012
800,39.7624,0.000786586,60321,0.192742,0.686094,0.0193549,0.920425
900,41.4943,0.00773215,60346,0.197474,0.673723,0.0203162,0.920807
1000,43.7052,0.00590956,60449,0.201821,0.679827,0.0210577,0.922379
1100,45.7838,0.0099004,60539,0.206195,0.67464,0.0219155,0.923752
1200,48.2244,0.0157896,60669,0.210466,0.732959,0.0230504,0.925735
1300,50.1778,0.0116103,60772,0.213982,0.681868,0.0241792,0.927307
1400,52.2451,0.0222876,60880,0.216646,0.675307,0.0252286,0.928955
1500,54.4507,0.0101593,60925,0.219417,0.674081,0.0260871,0.929642
1600,56.0719,0.00684696,60986,0.222098,0.669107,0.0269667,0.930573
1700,58.3222,0.00893024,61128,0.223507,0.670123,0.0276534,0.932739
1800,59.9577,0.0102337,61226,0.225761,0.653026,0.0283677,0.934235
1900,62.4409,0.00435418,61306,0.228821,0.658436,0.0293829,0.935455
1999,64.122,0.00623194,61379,0.231041,0.692868,0.030314,0.936569
