step,residue_coherence,orientation_alignment,corridor_count
0,3.12675e-06,0.00200532,0
100,0.000153501,0.00196646,0
200,0.000201029,0.00187436,0
300,0.00024938,0.00176597,0
400,0.000296174,0.00166182,0
500,0.000331934,0.00157219,0
600,0.000354913,0.00150316,0
700,0.000367363,0.0014562,0
800,0.000372256,0.00142948,0
900,0.000371987,0.00141959,0
1000,0.000368278,0.00142272,0
1100,0.000362305,0.00143536,0
1200,0.000354853,0.00145456,0
1300,0.000346457,0.001478,0
1400,0.000337475,0.00150398,0
1500,0.000328154,0.00153124,0
1600,0.000318673,0.00155889,0
1700,0.00030915,0.00158632,0
1800,0.000299669,0.00161311,0
1900,0.0002903,0.00163899,0
1999,0.000281169,0.00166354,0
