step,residue_coherence,orientation_alignment,corridor_count
0,3.12711e-06,0.000421729,0
100,0.000153413,0.000374832,0
200,0.000200356,0.000329536,0
300,0.000248458,0.000342771,0
400,0.00029532,0.000392653,0
500,0.000331176,0.000445198,0
600,0.000354198,0.000484125,0
700,0.000366689,0.000505042,0
800,0.000371604,0.000508579,0
900,0.000371352,0.000497312,0
1000,0.000367674,0.000474401,0
1100,0.000361721,0.000442875,0
1200,0.000354299,0.000405515,0
1300,0.000345926,0.00036465,0
1400,0.000336967,0.000322305,0
1500,0.000327672,0.000280304,0
1600,0.000318215,0.000240452,0
1700,0.00030871,0.000204752,0
1800,0.000299254,0.000175655,0
1900,0.0002899,0.000156158,0
1999,0.00028079,0.00014876,0
