step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00164167,0.00732263,1708,0.00163849,0.03575,0.00220279,0.104248
100,0.27405,0.00387395,9088,0.0789887,0.761779,0.00287887,0.554688
200,0.818668,0.00382972,11338,0.134277,0.852259,0.00357994,0.692017
300,1.56984,0.00186917,12255,0.166143,0.848307,0.00497872,0.747986
400,2.21244,0.00670023,12575,0.184208,0.869674,0.00611601,0.767517
500,2.77399,0.00975544,12777,0.195524,0.879445,0.00716906,0.779846
600,3.29957,0.00198731,12935,0.208987,0.974342,0.00852973,0.78949
700,3.75364,0.00547892,13031,0.216579,1.04259,0.00953929,0.795349
800,3.96635,0.00479924,13104,0.220138,0.887575,0.0100398,0.799805
900,4.30499,0.00268184,13154,0.226738,0.937307,0.0105069,0.802856
999,4.58039,0.0124342,13222,0.230635,0.97864,0.0112743,0.807007
